"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Straffmål","19:35","8-6","Moa Tschöp","Täby FC IBK","Period3","Pixbo Wallenstam IBK - Täby FC IBK","Straff","Jörgen Andersson","Daniel Dufvenberg","Jörgen Andersson, Daniel Dufvenberg"
"2","Missad straff","05:16","","Åsa Tjusberg","Telge SIBK","Period2","Telge SIBK - Täby FC IBK","Straff","Christoffer Markovski","Patric Terelius","Christoffer Markovski, Patric Terelius"
"3","Räddad straff","08:56","","Linnéa Nilsson","Västerås Rönnby IBK","Period1","Linköping IBK - Västerås Rönnby IBK","Straff","Jörgen Andersson","Daniel Dufvenberg","Jörgen Andersson, Daniel Dufvenberg"
"4","Räddad straff","05:35","","Sofie Paulsson","IK Sirius FBC","Period2","IKSU - IK Sirius FBC","Straff","Olle Eliasson","Thomas Jonsson","Olle Eliasson, Thomas Jonsson"
"5","Räddad straff","18:05","","Emelie Wibron","IKSU","Period3","IKSU - IK Sirius FBC","Straff","Olle Eliasson","Thomas Jonsson","Olle Eliasson, Thomas Jonsson"
"6","Straffmål","07:15","0-1","Stephanie Boberg","Pixbo Wallenstam IBK","Period2","Warberg IC - Pixbo Wallenstam IBK","Straff","Olle Eliasson","Thomas Jonsson","Olle Eliasson, Thomas Jonsson"
"7","Missad straff","15:48","","Anna Karlsson","Endre IF","Period2","Endre IF - Telge SIBK","Straff","Patrik Cullander","Niklas Tollefors","Patrik Cullander, Niklas Tollefors"
"8","Missad straff","15:01","","Amanda Berggren","Karlstad IBF","Period1","Malmö FBC - Karlstad IBF","Straff","Jan Lord","Rickard Nilsson","Jan Lord, Rickard Nilsson"
"9","Missad straff","15:54","","Cecilia Di Nardo","Malmö FBC","Period1","Malmö FBC - Karlstad IBF","Straff","Jan Lord","Rickard Nilsson","Jan Lord, Rickard Nilsson"
"10","Straffmål","06:03","3-0","Ellen Rasmussen","Malmö FBC","Period3","Malmö FBC - Karlstad IBF","Straff","Jan Lord","Rickard Nilsson","Jan Lord, Rickard Nilsson"
"11","Straffmål","05:08","3-6","Stina Ander","Endre IF","Period3","Telge SIBK - Endre IF","Straff","Ludwig Broadhall","Robert Nordin","Ludwig Broadhall, Robert Nordin"
"12","Straffmål","07:08","3-5","Gabriella Strandberg","Jönköpings IK","Period2","Linköping IBK - Jönköpings IK","Straff","Mona Franzon","Josefine Hedelind","Mona Franzon, Josefine Hedelind"
"13","Straffmål","12:48","5-5","Stina Ander","Endre IF","Period3","Endre IF - Pixbo Wallenstam IBK","Straff","Jörgen Andersson","Daniel Dufvenberg","Jörgen Andersson, Daniel Dufvenberg"
"14","Räddad straff","14:21","","Anna Wiman","Linköping IBK","Period1","Jönköpings IK - Linköping IBK","Straff","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
