"","X.1","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"145",145,145,"Robert Segerstedt, Ulf Stödberg","Hammarhallen Vännäs",1,1,"Spöland Vännäs IF",1
"146",146,146,"Roger Karlsson, Christoffer Lind","Hammarhallen Vännäs",1,1,"Spöland Vännäs IF",1
"147",147,147,"Roger Karlsson, Christoffer Lind","Hammarhallen Vännäs",1,1,"Skellefteå IBK",1
"148",148,148,"Roger Karlsson, Peter Poopuu","Elofssonhallen",1,2,"Röbäcks IF",1
"149",149,149,"Roger Karlsson, Peter Poopuu","Elofssonhallen",1,2,"Skellefteå IBK",1
"150",150,150,"Roger Karlsson, Peter Poopuu","Vildmannahallen",1,2,"Sävar IK",1
"151",151,151,"Roger Karlsson, Peter Poopuu","Vildmannahallen",1,2,"Sandåkerns SK",1
"152",152,152,"Therese Edin, Frida Nilsson","Ersängshallen",1,1,"Skellefteå IBK",1
"153",153,153,"Therese Edin, Frida Nilsson","Ersängshallen",1,1,"Ersboda SK",1
"154",154,154,"Tony Cederholm, Joni Güzel","Hammarhallen Vännäs",1,1,"Gimonäs Umeå IF",1
"155",155,155,"Tony Cederholm, Joni Güzel","Hammarhallen Vännäs",1,1,"Spöland Vännäs IF",1
"156",156,156,"Tony Cederholm, Peter Saari","Ersängshallen",1,1,"Gullänget-Kroksta IBS",1
"157",157,157,"Tony Cederholm, Peter Saari","Ersängshallen",1,1,"Ersboda SK",1
"158",158,158,"Tony Cederholm, Rasmus Säfvenberg","Elofssonhallen",1,1,"Röbäcks IF",1
"159",159,159,"Tony Cederholm, Rasmus Säfvenberg","Elofssonhallen",1,1,"Gimonäs Umeå IF",1
"160",160,160,"Tony Cederholm, Therese Jensen","Sävaråhallen",1,1,"Sandåkerns SK",1
"161",161,161,"Tony Cederholm, Therese Jensen","Sävaråhallen",1,1,"Sävar IK",1
"162",162,162,"Ulf Stödberg, Rasmus Säfvenberg","Sjöfruhallen",1,1,"Ersboda SK",1
"163",163,163,"Ulf Stödberg, Rasmus Säfvenberg","Sjöfruhallen",1,1,"Gimonäs Umeå IF",1
"164",164,164,"Viktor Grahn, Rasmus Säfvenberg","Sävaråhallen",1,1,"Röbäcks IF",1
"165",165,165,"Viktor Grahn, Rasmus Säfvenberg","Sävaråhallen",1,1,"Sävar IK",1
"166",166,166,"Ville Hedsberg, Jens Marklund","Balderhallen A",1,1,"Skellefteå IBK",1
"167",167,167,"Ville Hedsberg, Jens Marklund","Balderhallen A",1,1,"Spöland Vännäs IF",1
