"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"39","Missad straff","15:26","","Simon Sköldborg","Huddinge IBS","Period2","Huddinge IBS - Runby IBK","Straff","Andreas Bengtsson","Johannes Ekenberg","Andreas Bengtsson, Johannes Ekenberg"
"40","Straffmål","05:58","3-3","Johan Vestin","Runby IBK","Period2","Balrog B/S IK - Runby IBK","Straff","Elis Erbing","Shari Tingman","Elis Erbing, Shari Tingman"
"41","Straffmål","13:36","4-5","Robert Axelsson Sjöblom","Balrog B/S IK","Period2","Balrog B/S IK - Runby IBK","Straff","Elis Erbing","Shari Tingman","Elis Erbing, Shari Tingman"
"42","Missad straff","12:37","","Johan Vestin","Runby IBK","Period3","Balrog B/S IK - Runby IBK","Straff","Elis Erbing","Shari Tingman","Elis Erbing, Shari Tingman"
"43","Missad straff","00:42","","Fredrik Leijon","Tumba GOIF","Period2","Tumba GOIF - Råsunda IS","Straff","Aldin Imamovic","Johan Jäderlund","Aldin Imamovic, Johan Jäderlund"
"44","Straffmål","08:19","3-2","Fredrik Berg","Åkersberga IBF (A)","Period3","Åkersberga IBF (A) - Grimsta AIK","Straff","Christian Högberg","Martin Johansson","Christian Högberg, Martin Johansson"
"45","Straffmål","16:28","4-4","Johan Vestin","Runby IBK","Period3","Runby IBK - Hammarbyhöjden IBK","Straff","Fredrik Landin","Jimmy Rittervall","Fredrik Landin, Jimmy Rittervall"
"46","Straffmål","07:26","6-5","Jonathan Andersson","Nacka Wallenstam IBK","Period3","Åkersberga IBF (A) - Nacka Wallenstam IBK","Straff","Christian Högberg","Martin Johansson","Christian Högberg, Martin Johansson"
"47","Straffmål","18:21","7-6","Kalle Berglund","Grimsta AIK","Period3","Huddinge IBS - Grimsta AIK","Straff","Christian Högberg","Martin Johansson","Christian Högberg, Martin Johansson"
"48","Straffmål","13:12","3-3","Alexander Ulriksson","Nacka Wallenstam IBK","Period3","Grimsta AIK - Nacka Wallenstam IBK","Straff","Andreas Bengtsson","Elis Erbing","Andreas Bengtsson, Elis Erbing"
"49","Missad straff","16:13","","Pontus Engström","Värmdö IF (B)","Period2","Värmdö IF (B) - Runby IBK","Straff","Stefano Bianque","Jonas Holm","Stefano Bianque, Jonas Holm"
"50","Missad straff","03:56","","Marcus Åsbrink","IBF Offensiv Lidingö (A)","Period2","Tumba GOIF - IBF Offensiv Lidingö (A)","Straff","Magnus Johansson","Tim Sandström","Magnus Johansson, Tim Sandström"
"51","Straffmål","13:40","2-18","David Westerlund","IBF Offensiv Lidingö (A)","Period3","Tumba GOIF - IBF Offensiv Lidingö (A)","Straff","Magnus Johansson","Tim Sandström","Magnus Johansson, Tim Sandström"
"52","Missad straff","17:53","","Christoffer Leijon","Tumba GOIF","Period3","Tumba GOIF - IBF Offensiv Lidingö (A)","Straff","Magnus Johansson","Tim Sandström","Magnus Johansson, Tim Sandström"
"53","Straffmål","08:35","2-1","Christoffer Leijon","Tumba GOIF","Period1","Tumba GOIF - Nacka Wallenstam IBK","Straff","Fredrik Landin","Jimmy Rittervall","Fredrik Landin, Jimmy Rittervall"
"54","Straffmål","15:46","2-1","Simon Sköldborg","Huddinge IBS","Period1","Huddinge IBS - IBF Offensiv Lidingö (A)","Straff","Andreas Bengtsson","Elis Erbing","Andreas Bengtsson, Elis Erbing"
