"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"169","Utvisning","17:35","","Iulia Manzicu","Höllvikens IBF","Period2","Felaktigt avstånd",2,"Höllvikens IBF - Malmö FBC Ungdom","Erik Höst","Wiktor Kentander","Erik Höst, Wiktor Kentander"
"170","Utvisning","13:27","","Evelina Bengtsson","Malmö FBC Ungdom","Period3","Slag",2,"Höllvikens IBF - Malmö FBC Ungdom","Erik Höst","Wiktor Kentander","Erik Höst, Wiktor Kentander"
"171","Utvisning","13:49","","Sara Berglind","IK Stanstad","Period1","Otillåten trängning",2,"FC Helsingborg - IK Stanstad","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"172","Utvisning","02:51","","Elin Salmi","IK Stanstad","Period2","Fördröjande av spelet",2,"FC Helsingborg - IK Stanstad","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"173","Utvisning","14:37","","Johanna Joannou","FC Helsingborg","Period2","Upprepade förseelser",2,"FC Helsingborg - IK Stanstad","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"174","Utvisning","11:07","","Filippa Lööw","Skurups IBK D1","Period3","Otillåten trängning",2,"Skurups IBK D1 - Häljarps SK","Erik Höst","Wiktor Kentander","Erik Höst, Wiktor Kentander"
"175","Utvisning","19:11","","Thilda Andersson","Skurups IBK D1","Period3","Protest mot domslut",2,"Skurups IBK D1 - Häljarps SK","Erik Höst","Wiktor Kentander","Erik Höst, Wiktor Kentander"
"176","Utvisning","18:27","","Matilda Henrysson","Munka-Ljungby IBK","Period2","Otillåten trängning",2,"IBK Landskrona - Munka-Ljungby IBK","Malena Björnlund","Ronja Ottosson","Malena Björnlund, Ronja Ottosson"
"177","Utvisning","18:27","","Felicia Petersson","IBK Landskrona","Period2","Otillåten trängning",2,"IBK Landskrona - Munka-Ljungby IBK","Malena Björnlund","Ronja Ottosson","Malena Björnlund, Ronja Ottosson"
"178","Utvisning","13:44","","Natalie Hansson","IBK Landskrona","Period3","Slag",2,"IBK Landskrona - Munka-Ljungby IBK","Malena Björnlund","Ronja Ottosson","Malena Björnlund, Ronja Ottosson"
"179","Utvisning","10:27","","Hanna Carlsson","Höllvikens IBF","Period1","Upprepade förseelser",2,"Höllvikens IBF - IBK Landskrona","David Dornlöv","Erik Hindemith","David Dornlöv, Erik Hindemith"
"180","Utvisning","11:17","","Louise Jönsson","IBK Landskrona","Period2","Slag",2,"Höllvikens IBF - IBK Landskrona","David Dornlöv","Erik Hindemith","David Dornlöv, Erik Hindemith"
"181","Utvisning","16:35","","Felicia Petersson","IBK Landskrona","Period2","Slag",2,"Höllvikens IBF - IBK Landskrona","David Dornlöv","Erik Hindemith","David Dornlöv, Erik Hindemith"
"182","Utvisning","09:24","","Johanna Ejdelind","IBK Landskrona","Period3","Otillåten trängning",2,"Höllvikens IBF - IBK Landskrona","David Dornlöv","Erik Hindemith","David Dornlöv, Erik Hindemith"
"183","Utvisning","12:26","","Jonna Lamberth","FC Helsingborg","Period1","Slag",2,"Häljarps SK - FC Helsingborg","Christian Olofsson","Svante Svensson","Christian Olofsson, Svante Svensson"
"184","Utvisning","05:07","","Jonna Lamberth","FC Helsingborg","Period2","Slag",2,"Häljarps SK - FC Helsingborg","Christian Olofsson","Svante Svensson","Christian Olofsson, Svante Svensson"
"185","Utvisning","11:00","","Jenny Friberg","Häljarps SK","Period2","Slag",2,"Häljarps SK - FC Helsingborg","Christian Olofsson","Svante Svensson","Christian Olofsson, Svante Svensson"
"186","Utvisning","18:31","","Lexie Carlino","Häljarps SK","Period2","Lyftning av klubba",2,"Häljarps SK - FC Helsingborg","Christian Olofsson","Svante Svensson","Christian Olofsson, Svante Svensson"
"187","Utvisning","15:44","","Lexie Carlino","Häljarps SK","Period3","Slag",2,"Häljarps SK - FC Helsingborg","Christian Olofsson","Svante Svensson","Christian Olofsson, Svante Svensson"
"188","Utvisning","04:03","","Frida Knutsson","Skurups IBK D1","Period2","Slag",2,"FBC Engelholm D1 - Skurups IBK D1","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
"189","Utvisning","15:21","","Lina Ottosson","FBC Engelholm D1","Period2","Upprepade förseelser",2,"FBC Engelholm D1 - Skurups IBK D1","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
"190","Utvisning","06:08","","Elin Göransson","IBK Lund D1","Period2","Slag",2,"FBC Engelholm D1 - IBK Lund D1","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"191","Utvisning","06:08","","Johanna Olsson","IBK Lund D1","Period2","Upprepade förseelser",2,"FBC Engelholm D1 - IBK Lund D1","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"192","Utvisning","19:07","","Ella Bylin","FBC Engelholm D1","Period3","Låsning av klubba",2,"FBC Engelholm D1 - IBK Lund D1","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"193","Utvisning","17:38","","Linn Ahlin","Willands IBK","Period1","Slag",2,"Willands IBK - IBK Lund D1","Markus Brink","Jonny Johansson","Markus Brink, Jonny Johansson"
"194","Utvisning","15:48","","Mynta Persmark","IBK Lund D1","Period3","Hög klubba",2,"Willands IBK - IBK Lund D1","Markus Brink","Jonny Johansson","Markus Brink, Jonny Johansson"
"195","Utvisning","09:20","","Natalie Hansson","IBK Landskrona","Period1","Låsning av klubba",2,"IBK Landskrona - IK Stanstad","Matti Rouhiainen","Shaban Sadiku","Matti Rouhiainen, Shaban Sadiku"
"196","Utvisning","00:30","","Johanna Ejdelind","IBK Landskrona","Period2","Otillåten trängning",2,"IBK Landskrona - IK Stanstad","Matti Rouhiainen","Shaban Sadiku","Matti Rouhiainen, Shaban Sadiku"
"197","Utvisning","06:14","","Natalie Hansson","IBK Landskrona","Period2","Slag",2,"IBK Landskrona - IK Stanstad","Matti Rouhiainen","Shaban Sadiku","Matti Rouhiainen, Shaban Sadiku"
"198","Utvisning","04:01","","Lotta Andersson","IBK Landskrona","Period3","Fasthållning",2,"IBK Landskrona - IK Stanstad","Matti Rouhiainen","Shaban Sadiku","Matti Rouhiainen, Shaban Sadiku"
"199","Utvisning","17:39","","Julia Wickström","IK Stanstad","Period3","Felaktigt avstånd",2,"IBK Landskrona - IK Stanstad","Matti Rouhiainen","Shaban Sadiku","Matti Rouhiainen, Shaban Sadiku"
"200","Utvisning","06:37","","Elin Jacobsson","Willands IBK","Period1","Felaktigt avstånd",2,"Malmö FBC Ungdom - Willands IBK","Erik Höst","Wiktor Kentander","Erik Höst, Wiktor Kentander"
"201","Utvisning","08:26","","Ebba Flydalen","Malmö FBC Ungdom","Period3","Hög klubba",2,"Malmö FBC Ungdom - Willands IBK","Erik Höst","Wiktor Kentander","Erik Höst, Wiktor Kentander"
"202","Utvisning","09:20","","Nea Filling","Malmö FBC Ungdom","Period3","Osportsligt uppträdande",12,"Malmö FBC Ungdom - Willands IBK","Erik Höst","Wiktor Kentander","Erik Höst, Wiktor Kentander"
"203","Utvisning","08:01","","Frida Johansson","Malmö FBC Ungdom","Period1","Hands",2,"FBC Engelholm D1 - Malmö FBC Ungdom","Måns Gilén","Ali Tourabi","Måns Gilén, Ali Tourabi"
"204","Utvisning","05:46","","Ebba Eek","FBC Engelholm D1","Period3","Otillåten trängning",2,"FBC Engelholm D1 - Malmö FBC Ungdom","Måns Gilén","Ali Tourabi","Måns Gilén, Ali Tourabi"
"205","Utvisning","11:01","","Merita Ibraimi","Häljarps SK","Period1","Slag",2,"FBC Engelholm D1 - Häljarps SK","Christian Olofsson","Svante Svensson","Christian Olofsson, Svante Svensson"
"206","Utvisning","02:44","","Anna Pettersson","Häljarps SK","Period2","Slag",2,"FBC Engelholm D1 - Häljarps SK","Christian Olofsson","Svante Svensson","Christian Olofsson, Svante Svensson"
"207","Utvisning","03:04","","Jessica Pettersson","FBC Engelholm D1","Period3","Slag",2,"FBC Engelholm D1 - Häljarps SK","Christian Olofsson","Svante Svensson","Christian Olofsson, Svante Svensson"
"208","Utvisning","05:56","","Cajsa Holmåker","FBC Engelholm D1","Period3","Slag",2,"FBC Engelholm D1 - Häljarps SK","Christian Olofsson","Svante Svensson","Christian Olofsson, Svante Svensson"
"209","Utvisning","10:47","","Michaela Fröjd","IBK Landskrona","Period2","Upprepade förseelser",2,"IBK Landskrona - Munka-Ljungby IBK","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"210","Utvisning","12:03","","Isabella Hellsviken","Munka-Ljungby IBK","Period3","Otillåten trängning",2,"IBK Landskrona - Munka-Ljungby IBK","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"211","Utvisning","10:09","","Pauline Bornander","Höllvikens IBF","Period1","Otillåten trängning",2,"Höllvikens IBF - IK Stanstad","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
"212","Utvisning","19:53","","Sara Florentzson","IK Stanstad","Period2","Slag",2,"Höllvikens IBF - IK Stanstad","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
"213","Utvisning","07:42","","Sara Florentzson","IK Stanstad","Period3","Slag",2,"Höllvikens IBF - IK Stanstad","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
"214","Utvisning","10:22","","Petra Simonovski ","Höllvikens IBF","Period3","Lyftning av klubba",2,"Höllvikens IBF - IK Stanstad","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
"215","Utvisning","04:59","","Iulia Manzicu","Höllvikens IBF","Period1","Slag",2,"Malmö FBC Ungdom - Höllvikens IBF","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
