"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"32","Missad straff","01:52","","Isak Amundsson","Bjärreds IBK H2","Period2","Bjärreds IBK H2 - IBK Höllviken H2","Straff","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
"33","Missad straff","07:33","","Oliver Landvall","Lomma FBC H2","Period1","IBK Landskrona H2 - Lomma FBC H2","Straff","Mikael Björkqvist","Johan Salomonsson","Mikael Björkqvist, Johan Salomonsson"
"34","Straffmål","16:27","4-4","Oscar Skog","Lomma FBC H2","Period3","Willands IBK H2 - Lomma FBC H2","Straff","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"35","Missad straff","09:11","","André Svensson","Lönsboda IBK","Period3","Willands IBK H2 - Lönsboda IBK","Straff","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"36","Missad straff","05:26","","Elliott Windfeldt","FBC Helsingborg","Period2","Palmstaden IK H2 - FBC Helsingborg","Straff","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"37","Missad straff","09:15","","Marcus Johnsson","Munka Ljungby IBK Akademi","Period1","IBK Landskrona H2 - Munka Ljungby IBK Akademi","Straff","Mårten Högblom","Jonas Pettersson","Mårten Högblom, Jonas Pettersson"
"38","Missad straff","10:45","","Alexander Wedberg","Willands IBK H2","Period3","Willands IBK H2 - IBS Svedala H2","Straff","Roger Jönsson","Tojje Sildén-Glemark","Roger Jönsson, Tojje Sildén-Glemark"
"39","Missad straff","15:09","","Tobias Gothred","IBS Svedala H2","Period3","Willands IBK H2 - IBS Svedala H2","Straff","Roger Jönsson","Tojje Sildén-Glemark","Roger Jönsson, Tojje Sildén-Glemark"
"40","Räddad straff","16:34","","Fredrik Theander","IBK Höllviken H2","Period1","IBK Landskrona H2 - IBK Höllviken H2","Straff","Pierre Bergsten","Erik Götborg","Pierre Bergsten, Erik Götborg"
"41","Räddad straff","06:33","","Jakob Bjarke","IBK Landskrona H2","Period2","IBK Landskrona H2 - IBK Höllviken H2","Straff","Pierre Bergsten","Erik Götborg","Pierre Bergsten, Erik Götborg"
"42","Straffmål","11:36","7-4","Simon Strömberg","Palmstaden IK H2","Period3","Lönsboda IBK - Palmstaden IK H2","Straff","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"43","Missad straff","19:08","","Mattias Pettersson","Lönsboda IBK","Period3","Lönsboda IBK - Palmstaden IK H2","Straff","Jonas Karlsson","Kevin Prahl","Jonas Karlsson, Kevin Prahl"
"44","Missad straff","06:53","","Simon Strömberg","Palmstaden IK H2","Period1","FBC Engelholm H2 - Palmstaden IK H2","Straff","Leon Fuchs","Petter Niklasson","Leon Fuchs, Petter Niklasson"
"45","Straffmål","10:45","5-7","Mattias Andersson","Lönsboda IBK","Period3","Lomma FBC H2 - Lönsboda IBK","Straff","Håkan Bondesson","Isac Bondesson","Håkan Bondesson, Isac Bondesson"
"46","Räddad straff","19:53","","Mattias Andersson","Lönsboda IBK","Period3","Lomma FBC H2 - Lönsboda IBK","Straff","Håkan Bondesson","Isac Bondesson","Håkan Bondesson, Isac Bondesson"
