"","X.1","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"59",59,59,"Henrik Johansson, Joakim Nydahl","Skyttis Arena",3,4,"Täfteå IK",1
"60",60,60,"Henrik Johansson, Joakim Nydahl","Skyttis Arena",3,4,"Örnsköldsvik IBF",2
"61",61,61,"Henrik Johansson, Joakim Nydahl","Skyttis Arena",3,4,"Spöland Vännäs IF",1
"62",62,62,"Henrik Johansson, Joakim Nydahl","Skyttis Arena",3,4,"IBS Dalen",1
"63",63,63,"Henrik Johansson, Joakim Nydahl","Skyttis Arena",3,4,"Gullänget-Kroksta IBS",1
"64",64,64,"Jens Marklund, Johan Rönnberg","Eddahallen",3,3,"IBS Dalen",1
"65",65,65,"Jens Marklund, Johan Rönnberg","Eddahallen",3,3,"Team Thorengruppen Ungdom SK",1
"66",66,66,"Jens Marklund, Johan Rönnberg","Eddahallen",3,3,"Rönnskär Railcare IF",1
"67",67,67,"Jens Marklund, Johan Rönnberg","Eddahallen",3,3,"IBK Umeå Norr",1
"68",68,68,"Jens Marklund, Johan Rönnberg","Eddahallen",3,3,"IBF Skellefteå",2
"69",69,69,"Jens Marklund, Melker Westerberg","Balderhallen A",1,4,"IBF Skellefteå",1
"70",70,70,"Jens Marklund, Melker Westerberg","Balderhallen A",1,4,"Rönnskär Railcare IF",1
"71",71,71,"Jens Marklund, Melker Westerberg","Eddahallen",3,4,"Clemensnäs IF",3
"72",72,72,"Jens Marklund, Melker Westerberg","Eddahallen",3,4,"IBF Skellefteå",2
"73",73,73,"Jens Marklund, Melker Westerberg","Eddahallen",3,4,"Obbola IK",1
"74",74,74,"Jimmy Norlund, Peter Poopuu","Midgårdshallen",1,1,"IK SPIF Umeå",1
"75",75,75,"Jimmy Norlund, Peter Poopuu","Midgårdshallen",1,1,"Team Thorengruppen Ungdom SK",1
"76",76,76,"Johnnie Lundmark, Fredrik Söderholm","Skyttis Arena",4,4,"IBS Dalen",1
"77",77,77,"Johnnie Lundmark, Fredrik Söderholm","Skyttis Arena",4,4,"Rönnskär Railcare IF",1
"78",78,78,"Johnnie Lundmark, Fredrik Söderholm","Skyttis Arena",4,4,"Clemensnäs IF",1
"79",79,79,"Johnnie Lundmark, Fredrik Söderholm","Skyttis Arena",4,4,"Örnsköldsvik IBF",3
"80",80,80,"Johnnie Lundmark, Fredrik Söderholm","Skyttis Arena",4,4,"Gullänget-Kroksta IBS",2
"81",81,81,"Jonas Ahlehjelm, David Lundberg","Olasjöhallen",1,3,"Täfteå IK",1
"82",82,82,"Jonas Ahlehjelm, David Lundberg","Olasjöhallen",1,3,"Obbola IK",1
"83",83,83,"Jonas Ahlehjelm, David Lundberg","Sävaråhallen",2,3,"Täfteå IK",2
"84",84,84,"Jonas Ahlehjelm, David Lundberg","Sävaråhallen",2,3,"Rönnskär Railcare IF",1
