"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"121","Utvisning","06:00","","Maja Brodin","IK Sirius FBC","Period1","Lyftning av klubba",2,"IK Sirius FBC - IBK Göteborg","Tomas Edstrand","Rickard Olsen","Tomas Edstrand, Rickard Olsen"
"122","Utvisning","06:11","","Virve Bjerkefeldt","IK Sirius FBC","Period2","Otillåten trängning",2,"IK Sirius FBC - IBK Göteborg","Tomas Edstrand","Rickard Olsen","Tomas Edstrand, Rickard Olsen"
"123","Utvisning","07:00","","Tova Eriksson","IKSU","Period2","Slag",2,"IKSU - Örnsköldsvik IBK","Anders Fredriksson","Pierre Malmgren","Anders Fredriksson, Pierre Malmgren"
"124","Utvisning","19:59","","Elin Sjödin","Örnsköldsvik IBK","Period2","Fasthållning",2,"IKSU - Örnsköldsvik IBK","Anders Fredriksson","Pierre Malmgren","Anders Fredriksson, Pierre Malmgren"
"125","Utvisning","18:11","","Jonna Stenvall","IKSU","Period3","Slag",2,"IKSU - Örnsköldsvik IBK","Anders Fredriksson","Pierre Malmgren","Anders Fredriksson, Pierre Malmgren"
"126","Utvisning","13:54","","Andrea Envall","Warberg IC","Period1","Otillåten trängning",2,"Warberg IC - Endre IF","Andreas Holm","Stefan Olsson","Andreas Holm, Stefan Olsson"
"127","Utvisning","17:16","","Elin Roos","Endre IF","Period2","Otillåten trängning",2,"Warberg IC - Endre IF","Andreas Holm","Stefan Olsson","Andreas Holm, Stefan Olsson"
"128","Utvisning","19:57","","Stina Ander","Endre IF","Period2","Fasthållning",2,"Warberg IC - Endre IF","Andreas Holm","Stefan Olsson","Andreas Holm, Stefan Olsson"
"129","Utvisning","14:45","","Sofia Härdin","IK Sirius FBC","Period3","Obstruktion",2,"Jönköpings IK - IK Sirius FBC","Thomas Bergström","Jonas Einarsson","Thomas Bergström, Jonas Einarsson"
"130","Utvisning","11:49","","Alva Sjölund","Örnsköldsvik IBK","Period2","Upprepade förseelser",2,"Örnsköldsvik IBK - Täby FC IBK","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"131","Utvisning","08:01","","Linnea Wiregård","Täby FC IBK","Period3","Slag",2,"Örnsköldsvik IBK - Täby FC IBK","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"132","Utvisning","05:30","","Amanda Berggren","Karlstad IBF","Period1","Slag",2,"IBK Dalen - Karlstad IBF","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"133","Utvisning","16:36","","Clara Forssén","IBK Dalen","Period2","Slag",2,"IBK Dalen - Karlstad IBF","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"134","Utvisning","05:05","","Sara Dahlström","Karlstad IBF","Period3","Slag",2,"IBK Dalen - Karlstad IBF","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"135","Utvisning","04:09","","Isabella Halling","Västerås Rönnby IBK","Period2","Hårt spel 2",2,"Västerås Rönnby IBK - Pixbo Wallenstam IBK","Christoffer Markovski","Patric Terelius","Christoffer Markovski, Patric Terelius"
"136","Utvisning","13:45","","Laura Manninen","Pixbo Wallenstam IBK","Period2","Hårt spel 2",2,"Västerås Rönnby IBK - Pixbo Wallenstam IBK","Christoffer Markovski","Patric Terelius","Christoffer Markovski, Patric Terelius"
"137","Utvisning","14:38","","Denisa Ratajova","Pixbo Wallenstam IBK","Period3","Felaktigt byte",2,"Västerås Rönnby IBK - Pixbo Wallenstam IBK","Christoffer Markovski","Patric Terelius","Christoffer Markovski, Patric Terelius"
"138","Utvisning","09:39","","Jonna Stenvall","IKSU","Period1","Slag",2,"KAIS Mora IF - IKSU","Patrik Cullander","Niklas Tollefors","Patrik Cullander, Niklas Tollefors"
"139","Utvisning","09:40","","Maja Viström","IKSU","Period3","För många spelare på plan",2,"KAIS Mora IF - IKSU","Patrik Cullander","Niklas Tollefors","Patrik Cullander, Niklas Tollefors"
"140","Utvisning","13:03","","Sabrina Strandberg","Örnsköldsvik IBK","Period2","Låsning av klubba",2,"IBK Dalen - Örnsköldsvik IBK","Ludwig Broadhall","Robert Nordin","Ludwig Broadhall, Robert Nordin"
"141","Utvisning","00:40","","Elina Hirvi","Örnsköldsvik IBK","Period4","Protest mot domslut",2,"IBK Dalen - Örnsköldsvik IBK","Ludwig Broadhall","Robert Nordin","Ludwig Broadhall, Robert Nordin"
"142","Utvisning","12:07","","Sandra Hawerman","Warberg IC","Period2","Slag",2,"Pixbo Wallenstam IBK - Warberg IC","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"143","Utvisning","13:15","","Eliska Krupnova","Pixbo Wallenstam IBK","Period2","Slag",2,"Pixbo Wallenstam IBK - Warberg IC","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"144","Utvisning","13:38","","Josefin Wålinder","Pixbo Wallenstam IBK","Period2","Slag",2,"Pixbo Wallenstam IBK - Warberg IC","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"145","Utvisning","11:15","","Isa Jonsson","IKSU","Period2","Hög klubba",2,"IKSU - IK Sirius FBC","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"146","Utvisning","17:49","","Sofia Joelsson","IKSU","Period2","Hårt spel 2",2,"IKSU - IK Sirius FBC","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"147","Utvisning","18:48","","Agnes Wiklund","IK Sirius FBC","Period2","Obstruktion",2,"IKSU - IK Sirius FBC","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"148","Utvisning","18:06","","Lisa Svarfvar","KAIS Mora IF","Period1","Fasthållning",2,"Karlstad IBF - KAIS Mora IF","Tomas Edstrand","Rickard Olsen","Tomas Edstrand, Rickard Olsen"
"149","Utvisning","09:12","","Lisa Rengärde","Karlstad IBF","Period2","Otillåten trängning",2,"Karlstad IBF - KAIS Mora IF","Tomas Edstrand","Rickard Olsen","Tomas Edstrand, Rickard Olsen"
