"","X","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"276",276,"Utvisning","05:02",NA,"Tove Slettvoll","IBF Dalen/Sandåkerns SK","Period3","Otillåten trängning",2,"IBF Dalen/Sandåkerns SK - Obbola IK","Lydia Elstig","Sanna Åslin","Lydia Elstig, Sanna Åslin"
"277",277,"Utvisning","08:00",NA,"Julia Holmgren","Holmsund City IBC/GUIF","Period3","Slag",2,"Holmsund City IBC/GUIF - Skellefteå IBK","Lasse Ekesryd","Micael Holmbom","Lasse Ekesryd, Micael Holmbom"
"278",278,"Utvisning","09:42",NA,"Agnes Sjöstedt","Gamla Stan IBK","Period3","Slag",2,"Gamla Stan IBK - Sävar IK/Täfteå IK","Micael Holmbom","Andreas Åström","Micael Holmbom, Andreas Åström"
"279",279,"Utvisning","16:24",NA,"Tilda Johansson","Gamla Stan IBK","Period3","Straff pga betr av målvaktsområde",2,"Gamla Stan IBK - Sävar IK/Täfteå IK","Micael Holmbom","Andreas Åström","Micael Holmbom, Andreas Åström"
"280",280,"Utvisning","18:53",NA,"Emma Enholm","Sävar IK/Täfteå IK","Period3","Slag",2,"Gamla Stan IBK - Sävar IK/Täfteå IK","Micael Holmbom","Andreas Åström","Micael Holmbom, Andreas Åström"
"281",281,"Utvisning","03:35",NA,"Liza Wikström","Vindelns IF","Period2","Slag",2,"Ersboda SK - Vindelns IF","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"282",282,"Utvisning","18:44",NA,"Eila Nylén","Ersboda SK","Period2","Slag",2,"Ersboda SK - Vindelns IF","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"283",283,"Utvisning","16:22",NA,"Martha Hällgren","Vindelns IF","Period3","Hårt spel 2",2,"Ersboda SK - Vindelns IF","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"284",284,"Utvisning","18:53",NA,"Jennie Holmgren","Vindelns IF","Period3","Slag",2,"Ersboda SK - Vindelns IF","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"285",285,"Utvisning","16:42",NA,"Nova Sundin","Rönnskär Railcare IF","Period1","Liggande spel",2,"Rönnskär Railcare IF - IBF Dalen","Alvina Mukkala","Rasmus Säfvenberg","Alvina Mukkala, Rasmus Säfvenberg"
"286",286,"Utvisning","18:37",NA,"Nova Edlund","Rönnskär Railcare IF","Period2","Farligt spel",5,"Rönnskär Railcare IF - IBF Dalen","Alvina Mukkala","Rasmus Säfvenberg","Alvina Mukkala, Rasmus Säfvenberg"
"287",287,"Utvisning","19:18",NA,"Miriam Hellberg","Clemensnäs IF /Bureå IF","Period1","Otillåten trängning",2,"Gullänget-Kroksta IBS - Clemensnäs IF /Bureå IF","Mikael Berglund","Mikael Körning","Mikael Berglund, Mikael Körning"
"288",288,"Utvisning","19:36",NA,"Hedvig Forsgren","Rönnskär Railcare IF","Period1","Lyftning av klubba",2,"Gamla Stan IBK - Rönnskär Railcare IF"," "," ","  "
"289",289,"Utvisning","06:43",NA,"Nova Sundin","Rönnskär Railcare IF","Period3","Osportsligt uppträdande",12,"Gamla Stan IBK - Rönnskär Railcare IF"," "," ","  "
"290",290,"Utvisning","15:53",NA,"Nova Sundin","Rönnskär Railcare IF","Period3","Låsning av klubba",2,"Gamla Stan IBK - Rönnskär Railcare IF"," "," ","  "
"291",291,"Utvisning","17:22",NA,"Jonna Lönn","Röbäcks IF","Period2","Otillåten trängning",2,"Röbäcks IF - IKSU","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"292",292,"Utvisning","07:12",NA,"Nora Parkle","IKSU","Period3","Fasthållning",2,"Röbäcks IF - IKSU","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"293",293,"Utvisning","07:12",NA,"Jonna Lönn","Röbäcks IF","Period3","Osportsligt uppträdande",12,"Röbäcks IF - IKSU","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"294",294,"Utvisning","09:57",NA,"Sara Liljelind","Umeå City IBF","Period2","Felaktigt avstånd",2,"Umeå City IBF - Clemensnäs IF /Bureå IF","Lasse Ekesryd","David Morén","Lasse Ekesryd, David Morén"
"295",295,"Utvisning","19:13",NA,"Ebba Abrahamsson","Umeå City IBF","Period2","Otillåten trängning",2,"Umeå City IBF - Clemensnäs IF /Bureå IF","Lasse Ekesryd","David Morén","Lasse Ekesryd, David Morén"
"296",296,"Utvisning","15:32",NA,"Indra Fastborg","Ersboda SK","Period3","Hög klubba",2,"Röbäcks IF - Ersboda SK","Lydia Elstig","Hanna Wendén","Lydia Elstig, Hanna Wendén"
"297",297,"Utvisning","08:28",NA,"Klara Lindblom","Gamla Stan IBK","Period3","Slag",2,"Gamla Stan IBK - IBF Dalen","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"298",298,"Utvisning","09:35",NA,"Elsa Nilsson","IBF Dalen/Sandåkerns SK","Period1","Otillåten trängning",2,"IBF Dalen/Sandåkerns SK - Holmsund City IBC/GUIF","Tilde Wikström","Sanna Åslin","Tilde Wikström, Sanna Åslin"
"299",299,"Utvisning","10:20",NA,"Hanna Strandgren","Sävar IK/Täfteå IK","Period3","Slag",2,"Sävar IK/Täfteå IK - Rönnskär Railcare IF","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"300",300,"Utvisning","18:24",NA,"Ebba Elenius","Rönnskär Railcare IF","Period3","Liggande spel",2,"Sävar IK/Täfteå IK - Rönnskär Railcare IF","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"301",301,"Utvisning","13:00",NA,"Moa Olsson","Obbola IK","Period1","Slag",2,"Obbola IK - Skellefteå IBK","Daniel Degerman","Micael Holmbom","Daniel Degerman, Micael Holmbom"
"302",302,"Utvisning","03:08",NA,"Hanna Edholm","Obbola IK","Period2","Slag",2,"Obbola IK - Skellefteå IBK","Daniel Degerman","Micael Holmbom","Daniel Degerman, Micael Holmbom"
"303",303,"Utvisning","12:33",NA,"Meja Käller","Kågedalens AIF","Period3","Nick",2,"Kågedalens AIF - Gullänget-Kroksta IBS","Elias Bark Pettersson","Alvin Gustavsson","Elias Bark Pettersson, Alvin Gustavsson"
"304",304,"Utvisning","17:04",NA,"Wilma Näslund","Vindelns IF","Period2","Otillåten trängning",2,"Vindelns IF - Obbola IK","Björn Glad","Marcus Glad","Björn Glad, Marcus Glad"
"305",305,"Utvisning","19:37",NA,"","Clemensnäs IF /Bureå IF","Period3","Hårt spel 2",2,"Rönnskär Railcare IF - Clemensnäs IF /Bureå IF"," "," ","  "
"306",306,"Utvisning","07:26",NA,"Jonna Lönn","Röbäcks IF","Period2","Nick",2,"Holmsund City IBC/GUIF - Röbäcks IF","Hanna Wendén","Lisa Vestman","Hanna Wendén, Lisa Vestman"
"307",307,"Utvisning","05:50",NA,"Victoria Wilhelmsson-Andersson","Röbäcks IF","Period2","Hårt spel 2",2,"Spöland Vännäs IF - Röbäcks IF","David Karlsson","Robert Segerstedt","David Karlsson, Robert Segerstedt"
"308",308,"Utvisning","15:53",NA,"Tilde Linrin","Röbäcks IF","Period2","Hårt spel 2",2,"Spöland Vännäs IF - Röbäcks IF","David Karlsson","Robert Segerstedt","David Karlsson, Robert Segerstedt"
"309",309,"Utvisning","16:12",NA,"Alva Grönlund","IBF Dalen","Period2","Slag",2,"Vindelns IF - IBF Dalen","Tilde Wikström","Sanna Åslin","Tilde Wikström, Sanna Åslin"
"310",310,"Utvisning","19:46",NA,"Nora Jonsson","IBF Dalen","Period2","Slag",2,"Vindelns IF - IBF Dalen","Tilde Wikström","Sanna Åslin","Tilde Wikström, Sanna Åslin"
"311",311,"Utvisning","18:26",NA,"Sandra Ålevik","Holmsund City IBC/GUIF","Period3","Otillåten trängning",2,"Holmsund City IBC/GUIF - Vindelns IF","Alexandra Nimrodsson","Hanna Wendén","Alexandra Nimrodsson, Hanna Wendén"
"312",312,"Utvisning","14:57",NA,"Petra Hennström","Spöland Vännäs IF","Period1","Slag",2,"Spöland Vännäs IF - Täfteå IK /Sävar IK","Klas Höglund","Christoffer Lind","Klas Höglund, Christoffer Lind"
"313",313,"Utvisning","06:52",NA,"Wilma Rönnbäck","Obbola IK","Period2","Obstruktion",2,"Obbola IK - Röbäcks IF","Björn Glad","Robert Segerstedt","Björn Glad, Robert Segerstedt"
"314",314,"Utvisning","17:24",NA,"Elsa Lindgren","Obbola IK","Period2","Nick",2,"Obbola IK - Röbäcks IF","Björn Glad","Robert Segerstedt","Björn Glad, Robert Segerstedt"
"315",315,"Utvisning","07:04",NA,"Emilia Lönn","Röbäcks IF","Period3","Hårt spel 2",2,"Obbola IK - Röbäcks IF","Björn Glad","Robert Segerstedt","Björn Glad, Robert Segerstedt"
"316",316,"Utvisning","17:31",NA,"Emilia Lönn","Röbäcks IF","Period3","Slag",2,"Obbola IK - Röbäcks IF","Björn Glad","Robert Segerstedt","Björn Glad, Robert Segerstedt"
