"","X.1","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"301",301,301,"Thanasis Provatas, Peter Saari","Hammarhallen Vännäs",1,1,"Gimonäs Umeå IF",1
"302",302,302,"Thanasis Provatas, Peter Saari","Hammarhallen Vännäs",1,1,"Spöland Vännäs IF",1
"303",303,303,"Tony Cederholm, Manuel Garzon","Sporthallen Musköten",1,1,"IBF Dalen",1
"304",304,304,"Tony Cederholm, Manuel Garzon","Sporthallen Musköten",1,1,"Umeå City IBF",1
"305",305,305,"Ulf Stödberg, Rasmus Säfvenberg","Sjöfruhallen",1,1,"Gimonäs Umeå IF",1
"306",306,306,"Ulf Stödberg, Rasmus Säfvenberg","Sjöfruhallen",1,1,"IBF Dalen",1
"307",307,307,"Viktor Grahn, Mattias Karlsson","Midgårdshallen",1,1,"Gamla Stan IBK",1
"308",308,308,"Viktor Grahn, Mattias Karlsson","Midgårdshallen",1,1,"Umeå City IBF",1
"309",309,309,"Ville Hedsberg, Elias Norden","Balderhallen B",1,1,"Gimonäs Umeå IF",1
"310",310,310,"Ville Hedsberg, Elias Norden","Balderhallen B",1,1,"Skellefteå IBS",1
"311",311,311,"Ville Hedsberg, Melker Westerberg","Balderhallen A",1,1,"Skellefteå IBK",1
"312",312,312,"Ville Hedsberg, Melker Westerberg","Balderhallen A",1,1,"Rönnskär Railcare IF/CIF",1
