"","X.1","X","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"181",181,181,"Julia Fältén, Lisa Vestman","Jenningshallen",1,2,"Robertsfors IK",1
"182",182,182,"Julia Fältén, Lisa Vestman","Jenningshallen",1,2,"Hörnefors IF",1
"183",183,183,"Julia Fältén, Lisa Vestman","Sjöfruhallen",1,2,"Ersboda SK",1
"184",184,184,"Julia Fältén, Lisa Vestman","Sjöfruhallen",1,2,"Gimonäs Umeå IF",1
"185",185,185,"Kent Fagerberg, David Karlsson","Midgårdshallen",1,1,"Gimonäs Umeå IF",1
"186",186,186,"Kent Fagerberg, David Karlsson","Midgårdshallen",1,1,"IBF Dalen",1
"187",187,187,"Kent Fagerberg, Jimmy Norlund","Sjöfruhallen",1,1,"Gimonäs Umeå IF",1
"188",188,188,"Kent Fagerberg, Jimmy Norlund","Sjöfruhallen",1,1,"Hörnefors IF",1
"189",189,189,"Kim Fallbjörk, Christoffer Lind","Sjöfruhallen",1,1,"Gimonäs Umeå IF",1
"190",190,190,"Kim Fallbjörk, Christoffer Lind","Sjöfruhallen",1,1,"Gamla Stan IBK",1
"191",191,191,"Kim Fallbjörk, Daniel Johannesson","Midgårdshallen",1,1,"Umeå City IBF",1
"192",192,192,"Kim Fallbjörk, Daniel Johannesson","Midgårdshallen",1,1,"IBF Dalen",1
"193",193,193,"Kim Fallbjörk, Mattias Karlsson","Hammarhallen Vännäs",1,1,"Ersboda SK",1
"194",194,194,"Kim Fallbjörk, Mattias Karlsson","Hammarhallen Vännäs",1,1,"Spöland Vännäs IF",1
"195",195,195,"Kim Fallbjörk, Rasmus Säfvenberg","Ersängshallen",1,2,"Umeå City IBF",1
"196",196,196,"Kim Fallbjörk, Rasmus Säfvenberg","Ersängshallen",1,2,"Ersboda SK",1
"197",197,197,"Kim Fallbjörk, Rasmus Säfvenberg","Jenningshallen",1,2,"Gimonäs Umeå IF",1
"198",198,198,"Kim Fallbjörk, Rasmus Säfvenberg","Jenningshallen",1,2,"Robertsfors IK",1
"199",199,199,"Kim Fallbjörk, Thanasis Provatas","Vildmannahallen",1,1,"Umeå City IBF",1
"200",200,200,"Kim Fallbjörk, Thanasis Provatas","Vildmannahallen",1,1,"IBF Dalen",1
"201",201,201,"Klas Höglund, Alvina Mukkala","Bråvallahallen",1,1,"Hörnefors IF",1
"202",202,202,"Klas Höglund, Alvina Mukkala","Bråvallahallen",1,1,"IBF Dalen",1
"203",203,203,"Klas Höglund, Christoffer Lind","Bråvallahallen",3,5,"Gimonäs Umeå IF",1
"204",204,204,"Klas Höglund, Christoffer Lind","Bråvallahallen",3,5,"Robertsfors IK",1
"205",205,205,"Klas Höglund, Christoffer Lind","Bråvallahallen",3,5,"Hörnefors IF",3
"206",206,206,"Klas Höglund, Christoffer Lind","Bråvallahallen",3,5,"Skellefteå IBK",1
"207",207,207,"Klas Höglund, Christoffer Lind","Hammarhallen Vännäs",1,5,"Umeå City IBF",1
"208",208,208,"Klas Höglund, Christoffer Lind","Hammarhallen Vännäs",1,5,"Spöland Vännäs IF",1
"209",209,209,"Klas Höglund, Christoffer Lind","Sporthallen Musköten",1,5,"IBF Dalen",1
"210",210,210,"Klas Höglund, Christoffer Lind","Sporthallen Musköten",1,5,"Gamla Stan IBK",1
"211",211,211,"Klas Höglund, Daniel Johannesson","Sjöfruhallen",1,2,"Ersboda SK",1
"212",212,212,"Klas Höglund, Daniel Johannesson","Sjöfruhallen",1,2,"Gimonäs Umeå IF",1
"213",213,213,"Klas Höglund, Daniel Johannesson","Sporthallen Musköten",1,2,"Umeå City IBF",1
"214",214,214,"Klas Höglund, Daniel Johannesson","Sporthallen Musköten",1,2,"IBF Dalen",1
"215",215,215,"Klas Höglund, Thanasis Provatas","Ersängshallen",1,1,"Ersboda SK",1
"216",216,216,"Klas Höglund, Thanasis Provatas","Ersängshallen",1,1,"Gamla Stan IBK",1
"217",217,217,"Lasse Ekesryd, Andreas Åström","Balderhallen A",1,1,"Gamla Stan IBK",1
"218",218,218,"Lasse Ekesryd, Andreas Åström","Balderhallen A",1,1,"IBF Dalen",1
"219",219,219,"Lasse Ekesryd, David Morén","Balderhallen B",1,2,"Skellefteå IBS",1
"220",220,220,"Lasse Ekesryd, David Morén","Balderhallen B",1,2,"Ersboda SK",1
"221",221,221,"Lasse Ekesryd, David Morén","Eddahallen",1,2,"Skellefteå IBK",1
"222",222,222,"Lasse Ekesryd, David Morén","Eddahallen",1,2,"Gamla Stan IBK",1
"223",223,223,"Lasse Ekesryd, Jörgen Lundberg","Balderhallen B",2,3,"Gamla Stan IBK",1
"224",224,224,"Lasse Ekesryd, Jörgen Lundberg","Balderhallen B",2,3,"Gimonäs Umeå IF",1
"225",225,225,"Lasse Ekesryd, Jörgen Lundberg","Balderhallen B",2,3,"Gimonäs Umeå IF",1
"226",226,226,"Lasse Ekesryd, Jörgen Lundberg","Balderhallen B",2,3,"Gamla Stan IBK",1
"227",227,227,"Lasse Ekesryd, Jörgen Lundberg","Eddahallen",1,3,"IBF Dalen",1
"228",228,228,"Lasse Ekesryd, Jörgen Lundberg","Eddahallen",1,3,"Skellefteå IBK",1
"229",229,229,"Lasse Ekesryd, Micael Holmbom","Balderhallen A",2,3,"Hörnefors IF",1
"230",230,230,"Lasse Ekesryd, Micael Holmbom","Balderhallen A",2,3,"Skellefteå IBK",1
"231",231,231,"Lasse Ekesryd, Micael Holmbom","Balderhallen A",2,3,"Gamla Stan IBK",1
"232",232,232,"Lasse Ekesryd, Micael Holmbom","Balderhallen A",2,3,"Skellefteå IBS",1
"233",233,233,"Lasse Ekesryd, Micael Holmbom","Balderhallen B",1,3,"Gamla Stan IBK",1
"234",234,234,"Lasse Ekesryd, Micael Holmbom","Balderhallen B",1,3,"IBF Dalen",1
"235",235,235,"Lasse Ekesryd, Ville Hedsberg","Balderhallen B",1,2,"Robertsfors IK",1
"236",236,236,"Lasse Ekesryd, Ville Hedsberg","Balderhallen B",1,2,"Skellefteå IBK",1
"237",237,237,"Lasse Ekesryd, Ville Hedsberg","Örjanshallen",1,2,"Rönnskär Railcare IF/CIF",1
"238",238,238,"Lasse Ekesryd, Ville Hedsberg","Örjanshallen",1,2,"IBF Dalen",1
"239",239,239,"Magnus Fessé, Daniel Johannesson","Sporthallen Musköten",1,1,"IBF Dalen",1
"240",240,240,"Magnus Fessé, Daniel Johannesson","Sporthallen Musköten",1,1,"Skellefteå IBK",1
"241",241,241,"Manuel Garzon, Peter Poopuu","FC Vindeln",1,1,"Vindelns IF",1
"242",242,242,"Manuel Garzon, Peter Poopuu","FC Vindeln",1,1,"Örnsköldsvik IBF /IBK",1
