"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"33","Missad straff","13:29","","Henrik Westerlund","IBK Östhammar","Period1","IBF Borlänge - IBK Östhammar","Straff","Daniel Larsson","Magnus Undén","Daniel Larsson, Magnus Undén"
"34","Straffmål","07:29","1-4","Johan Back","IBF Gagnef","Period3","KFUM Falun - IBF Gagnef","Straff","Leo Holmström","Linus Isberg","Leo Holmström, Linus Isberg"
"35","Räddad straff","00:00","","Martin Gagner-Geeber","IBK Östhammar","Period2","IBK Östhammar - Lokomotiv Grillby IBK","Straff","Jonas Nordqvist","Bo Pettersson Loklint","Jonas Nordqvist, Bo Pettersson Loklint"
"36","Straffmål","02:00","1-4","Martin Gagner-Geeber","IBK Östhammar","Period3","IBK Östhammar - Lokomotiv Grillby IBK","Straff","Jonas Nordqvist","Bo Pettersson Loklint","Jonas Nordqvist, Bo Pettersson Loklint"
"37","Straffmål","10:37","5-3","Johan Strandberg Andersson","IK Sirius FBC","Period2","Strömsbro IF - IK Sirius FBC","Straff","Arvid Englund","Michaela Pålsson","Arvid Englund, Michaela Pålsson"
"38","Missad straff","09:15","","Albin Orrelöv","IK Sirius FBC","Period3","Strömsbro IF - IK Sirius FBC","Straff","Arvid Englund","Michaela Pålsson","Arvid Englund, Michaela Pålsson"
"39","Straffmål","09:07","13-5","Serdar Camuz","Skutskärs IBK","Period2","Insjöns BK - Skutskärs IBK","Straff","Jörgen Andersson","Erik Lindberg","Jörgen Andersson, Erik Lindberg"
"40","Missad straff","19:28","","Liam Nielsen","Skutskärs IBK","Period3","Skutskärs IBK - Björklinge BK","Straff","Arvid Englund","Michaela Pålsson","Arvid Englund, Michaela Pålsson"
"41","Straffmål","17:14","2-2","Robert Berglund","Södra Tolvfors IF","Period1","Södra Tolvfors IF - Skutskärs IBK","Straff","Marcus Svedinger","Richard Öhneskog","Marcus Svedinger, Richard Öhneskog"
"42","Missad straff","10:34","","Robert Berglund","Södra Tolvfors IF","Period3","Södra Tolvfors IF - Skutskärs IBK","Straff","Marcus Svedinger","Richard Öhneskog","Marcus Svedinger, Richard Öhneskog"
