"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"57","Straffmål","04:58","1-1","Tommy Bolin","Visby IBK","Period1","Karlstad IBF - Visby IBK","Straff","Jonas Ottosson","Patrik Trofast","Jonas Ottosson, Patrik Trofast"
"58","Straffmål","06:23","7-5","Tommy Bolin","Visby IBK","Period3","Karlstad IBF - Visby IBK","Straff","Jonas Ottosson","Patrik Trofast","Jonas Ottosson, Patrik Trofast"
"59","Straffmål","13:20","9-1","William Park","Lagan IBK","Period3","Warberg IC - Lagan IBK","Straff","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"60","Räddad straff","16:45","","Kevin Lieback Asp","AIK IBF","Period3","AIK IBF - Gävle GIK","Straff","David Berger","Tobias Berger","David Berger, Tobias Berger"
"61","Straffmål","01:19","4-2","William Park","Lagan IBK","Period3","Lagan IBK - Lillån IBK","Straff","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"62","Räddad straff","19:09","","Max Norstedt","Lillån IBK","Period3","Lagan IBK - Lillån IBK","Straff","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"63","Räddad straff","19:24","","Jesper Lindström","Salems IF","Period3","RIG Umeå IBF - Salems IF","Straff","Robin Boqvist","Martin Jonsson","Robin Boqvist, Martin Jonsson"
"64","Straffmål","10:00","3-1","Victor Wettergren","RIG Umeå IBF","Period1","Hagunda IF - RIG Umeå IBF","Straff","David Berger","Tobias Berger","David Berger, Tobias Berger"
"65","Räddad straff","03:13","","Adam Nilsson","Strängnäs IBK","Period1","Strängnäs IBK - Lillån IBK","Straff","Robin Boqvist","Martin Jonsson","Robin Boqvist, Martin Jonsson"
"66","Missad straff","07:00","","Tommy Bolin","Visby IBK","Period2","Visby IBK - Warberg IC","Straff","Christoffer Markovski","Patric Terelius","Christoffer Markovski, Patric Terelius"
"67","Straffmål","10:24","3-5","Oskar Löwdahl","Lillån IBK","Period2","Åby IBK - Lillån IBK","Straff","Robert Forslind Lovrencic","Peter Palmelius","Robert Forslind Lovrencic, Peter Palmelius"
"68","Straffmål","17:28","2-2","Kim Clemedtson","Warberg IC","Period2","Lagan IBK - Warberg IC","Straff","Tomas Edstrand","Rickard Olsen","Tomas Edstrand, Rickard Olsen"
"69","Missad straff","18:31","","Rasmus Svensson","Fagerhult Habo IBK","Period2","Fagerhult Habo IBK - Onyx IBK","Straff","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"70","Räddad straff","08:29","","William Park","Lagan IBK","Period2","Lagan IBK - Onyx IBK","Straff","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"71","Straffmål","18:27","5-4","Pontus Carlsson","Lagan IBK","Period3","Lagan IBK - Onyx IBK","Straff","Ola Nilsson","Mattias Sjöstedt","Ola Nilsson, Mattias Sjöstedt"
"72","Missad straff","04:31","","Victor Wettergren","RIG Umeå IBF","Period1","IBK Runsten - RIG Umeå IBF","Straff","Jonatan Lindberg","Erik Lundgren","Jonatan Lindberg, Erik Lundgren"
"73","Straffmål","10:02","5-3","Tommy Bolin","Visby IBK","Period2","Visby IBK - Lillån IBK","Straff","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"74","Missad straff","10:31","","Marcus Skager","Karlstad IBF","Period1","FBC Lerum - Karlstad IBF","Straff","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"75","Missad straff","18:12","","Måns Höglin","Team Thorengruppen SK","Period2","Wibax-Piteå IBK - Team Thorengruppen SK","Straff","Mathias Stegrud","Daniel Söderberg","Mathias Stegrud, Daniel Söderberg"
"76","Räddad straff","18:23","","Andreas Lennartsson","Craftstadens IBK Oskarshamn","Period1","Craftstadens IBK Oskarshamn - Åby IBK","Straff","Jonas Ottosson","Håkan Söderman","Jonas Ottosson, Håkan Söderman"
"77","Räddad straff","04:05","","Sebastian Gafvelin","Djurgårdens IF IBS","Period3","IBK Runsten - Djurgårdens IF IBS","Straff","Jonas Tidsjö","Jakob Westerlund","Jonas Tidsjö, Jakob Westerlund"
"78","Missad straff","09:10","","Fredrik Holtz","Hagunda IF","Period1","FBI Tullinge - Hagunda IF","Straff","Björn Hedman","Nicklas Sundgren","Björn Hedman, Nicklas Sundgren"
"79","Straffmål","10:21","3-6","Adam Nilsson","Strängnäs IBK","Period3","Lillån IBK - Strängnäs IBK","Straff","Oliver Engström","Kevin Larsson","Oliver Engström, Kevin Larsson"
"80","Missad straff","01:27","","Filip Lindberg","Åby IBK","Period3","Fagerhult Habo IBK - Åby IBK","Straff","Jonas Tidsjö","Jakob Westerlund","Jonas Tidsjö, Jakob Westerlund"
"81","Straffmål","13:29","5-3","Henrik Areskoug","Craftstadens IBK Oskarshamn","Period2","Craftstadens IBK Oskarshamn - Malmö FBC","Straff","Jonas Ottosson","Patrik Trofast","Jonas Ottosson, Patrik Trofast"
"82","Straffmål","09:14","6-9","Kim Clemedtson","Warberg IC","Period3","Warberg IC - Craftstadens IBK Oskarshamn","Straff","Jonas Ottosson","Patrik Trofast","Jonas Ottosson, Patrik Trofast"
