"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"67","Missad straff","10:07","","Sebastian Degeryd","IBK Dalen","Period2","IBK Dalen - Växjö IBK","Straff","Martin Gustafsson","Andreas Svensson","Martin Gustafsson, Andreas Svensson"
"68","Straffmål","19:40","3-6","Simon Palmén","IBF Örebro","Period3","Linköping IBK - IBF Örebro","Straff","Glenn Boström","Håkan Söderman","Glenn Boström, Håkan Söderman"
"69","Räddad straff","13:51","","Max Wahlgren","Pixbo Wallenstam IBK","Period1","IK Sirius IBK - Pixbo Wallenstam IBK","Straff","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"70","Räddad straff","08:24","","Filip Eriksson","IK Sirius IBK","Period2","IK Sirius IBK - Pixbo Wallenstam IBK","Straff","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"71","Straffmål","15:32","5-7","Mika Kohonen","FC Helsingborg","Period3","FC Helsingborg - Pixbo Wallenstam IBK","Straff","Glenn Boström","Håkan Söderman","Glenn Boström, Håkan Söderman"
"72","Missad straff","16:33","","Daniel Gidske","Mullsjö AIS","Period3","Mullsjö AIS - Jönköpings IK","Straff","Glenn Boström","Håkan Söderman","Glenn Boström, Håkan Söderman"
"73","Straffmål","01:18","1-0","Otto Weidman","Jönköpings IK","Period1","Jönköpings IK - AIK IBF","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"74","Missad straff","01:44","","Max Wahlgren","Pixbo Wallenstam IBK","Period2","Pixbo Wallenstam IBK - AIK IBF","Straff","Tony Olsson","Sigge Svensson Martell","Tony Olsson, Sigge Svensson Martell"
"75","Missad straff","15:05","","Jonathan Hjelm","AIK IBF","Period2","Pixbo Wallenstam IBK - AIK IBF","Straff","Tony Olsson","Sigge Svensson Martell","Tony Olsson, Sigge Svensson Martell"
"76","Straffmål","04:57","4-4","Daniel Persson","Höllvikens IBF","Period2","IBF Falun - Höllvikens IBF","Straff","Roland Alexandersson","Nariman Navaee","Roland Alexandersson, Nariman Navaee"
"77","Missad straff","11:47","","Daniel Persson","Höllvikens IBF","Period2","IBF Falun - Höllvikens IBF","Straff","Roland Alexandersson","Nariman Navaee","Roland Alexandersson, Nariman Navaee"
"78","Straffmål","03:55","2-5","Dan Johansson","IK Sirius IBK","Period3","Växjö IBK - IK Sirius IBK","Straff","Ola Hamberg","Daniel Skoog","Ola Hamberg, Daniel Skoog"
"79","Missad straff","13:59","","André Andersson","Växjö IBK","Period3","Växjö IBK - IK Sirius IBK","Straff","Ola Hamberg","Daniel Skoog","Ola Hamberg, Daniel Skoog"
"80","Räddad straff","12:11","","Ketil Kronberg","IBK Dalen","Period3","AIK IBF - IBK Dalen","Straff","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
"81","Straffmål","10:55","5-0","Alexander Rudd","Storvreta IBK","Period1","Storvreta IBK - AIK IBF","Straff","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"82","Missad straff","03:09","","Kevin Haglund","AIK IBF","Period3","Storvreta IBK - AIK IBF","Straff","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"83","Straffmål","07:35","2-2","Mika Kohonen","FC Helsingborg","Period2","Mullsjö AIS - FC Helsingborg","Straff","Ola Hamberg","Daniel Skoog","Ola Hamberg, Daniel Skoog"
