"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"132","Missad straff","04:21","","Oskar Backlund","Surahammars IBF","Period3","Surahammars IBF - IBF Västerås","Straff","Tomas Edstrand","Rickard Olsen","Tomas Edstrand, Rickard Olsen"
"133","Missad straff","05:51","","Markus Eriksson","Hovslätts IK","Period1","Älvsjö AIK IBF - Hovslätts IK","Straff","Christoffer Markovski","Patric Terelius","Christoffer Markovski, Patric Terelius"
"134","Räddad straff","19:27","","Elias Slagbrand Nyqvist","Sundsvall FBC","Period3","Sundsvall FBC - Jemtland Innebandy","Straff","Roger Collin","Henrik Öberg","Roger Collin, Henrik Öberg"
"135","Straffmål","16:56","9-4","Marcus Magnemyr","Mölndals IBF","Period3","Varla IBK - Mölndals IBF","Straff","Tomas Edstrand","Rickard Olsen","Tomas Edstrand, Rickard Olsen"
"136","Räddad straff","07:21","","Erik Toivanen","Hagfors IBS","Period2","Hagfors IBS - Arvika IBF","Straff","Pierre Borghoff","Tobias Ekmark","Pierre Borghoff, Tobias Ekmark"
"137","Räddad straff","18:09","","Anders Skoog","Hagfors IBS","Period3","Hagfors IBS - Arvika IBF","Straff","Pierre Borghoff","Tobias Ekmark","Pierre Borghoff, Tobias Ekmark"
"138","Räddad straff","04:32","","Anton Lundgren","Sundsvall FBC Ungdom","Period1","Sundsvall FBC Ungdom - Timrå IBC","Straff","Viktor Grahn","Morgan Poopuu","Viktor Grahn, Morgan Poopuu"
"139","Missad straff","09:01","","Filip Granrud","GS 86 AIF","Period3","GS 86 AIF - Surahammars IBF","Straff","Albin Jakobsson","Lars Larsson","Albin Jakobsson, Lars Larsson"
"140","Missad straff","16:22","","Albin Englöw","Skoghalls IBK","Period3","Torshälla IBK - Skoghalls IBK","Straff","Björn Hedman","Nicklas Sundgren","Björn Hedman, Nicklas Sundgren"
"141","Straffmål","15:07","4-7","Jonas Engström","Surahammars IBF","Period3","Surahammars IBF - Hagfors IBS","Straff","Jonas Backman","Oliver Halvarsson","Jonas Backman, Oliver Halvarsson"
"142","Räddad straff","17:36","","Anton Persson","Surahammars IBF","Period3","Surahammars IBF - Hagfors IBS","Straff","Jonas Backman","Oliver Halvarsson","Jonas Backman, Oliver Halvarsson"
"143","Missad straff","17:44","","Jesper Karlsson","Hagfors IBS","Period3","Surahammars IBF - Hagfors IBS","Straff","Jonas Backman","Oliver Halvarsson","Jonas Backman, Oliver Halvarsson"
"144","Räddad straff","17:41","","Jonas Larsson","IBF Falun Ungdom","Period2","Arvika IBF - IBF Falun Ungdom","Straff","Arash Sohrevardi","Shari Tingman","Arash Sohrevardi, Shari Tingman"
"145","Straffmål","04:28","1-1","Casper Lanehed","IBF Västerås","Period1","Skoghalls IBK - IBF Västerås","Straff","Albin Jakobsson","Lars Larsson","Albin Jakobsson, Lars Larsson"
"146","Straffmål","15:22","3-2","Pontus Sölve","IBK Lund Elit","Period1","Warberg IBF - IBK Lund Elit","Straff","Kevin Cardell","Rickard Nilsson","Kevin Cardell, Rickard Nilsson"
"147","Missad straff","18:17","","Sebastian Gustafsson","Ledberg IBF","Period3","Linköping FBC - Ledberg IBF","Straff","Tomas Edstrand","Rickard Olsen","Tomas Edstrand, Rickard Olsen"
"148","Räddad straff","06:23","","Kim Johansson","Värmdö IF","Period1","Farsta IBK - Värmdö IF","Straff","Richard Himberg","Christian Johnsson","Richard Himberg, Christian Johnsson"
"149","Missad straff","01:24","","Hampus Ekman","Hovslätts IK","Period3","Telge IBS - Hovslätts IK","Straff","Johnny Lindberg","Roger Nilsson","Johnny Lindberg, Roger Nilsson"
"150","Räddad straff","00:55","","Olle Hemmingberg","Jönköping IBK Ungdom","Period2","Tyresö Trollbäcken IBK - Jönköping IBK Ungdom","Straff","Mikael Andersson","Leif Borglund","Mikael Andersson, Leif Borglund"
"151","Straffmål","08:42","1-5","Daniel Jakobsson","Floda IBK","Period3","FBC Sisjön - Floda IBK","Straff","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"152","Straffmål","14:06","1-3","Mika Mikkonen","Olofströms IBK","Period1","Åstorp/Kvidinge IBS - Olofströms IBK","Straff","Stefan Olsson","Jonas Ottosson","Stefan Olsson, Jonas Ottosson"
"153","Straffmål","10:24","3-2","Isak Kroon","IBF Falun Ungdom","Period3","Hagfors IBS - IBF Falun Ungdom","Straff","Christer Avasjö","Jonas Holm","Christer Avasjö, Jonas Holm"
"154","Missad straff","11:18","","Ludvig Eriksson","Hovslätts IK","Period2","Hovslätts IK - Nykvarns IBF Ungdom","Straff","Kent Erlandsson","Henrik Ibjer","Kent Erlandsson, Henrik Ibjer"
"155","Straffmål","01:05","1-3","Andreas Ante Johansson","IBK Lidköping","Period2","IBK Lidköping - Varla IBK","Straff","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"156","Räddad straff","19:53","","Linus Almkvist","Varla IBK","Period2","IBK Lidköping - Varla IBK","Straff","Frans Dahlstedt","Tobias Levin","Frans Dahlstedt, Tobias Levin"
"157","Missad straff","06:42","","Dennis Svensson","Ledberg IBF","Period1","Ledberg IBF - Telge IBS","Straff","Jonas Backman","Oliver Halvarsson","Jonas Backman, Oliver Halvarsson"
"158","Straffmål","00:20","5-2","Filip Rönnkvist","Telge IBS","Period3","Ledberg IBF - Telge IBS","Straff","Jonas Backman","Oliver Halvarsson","Jonas Backman, Oliver Halvarsson"
"159","Straffmål","06:05","6-2","Emil Jacobsson","Ledberg IBF","Period3","Ledberg IBF - Telge IBS","Straff","Jonas Backman","Oliver Halvarsson","Jonas Backman, Oliver Halvarsson"
"160","Straffmål","17:05","11-11","Joakim Turunen","IBF Västerås","Period3","IBF Västerås - Filipstad IBK","Straff","Robert Forslind Lovrencic","Peter Palmelius","Robert Forslind Lovrencic, Peter Palmelius"
"161","Missad straff","01:34","","Albin Lundell","IBK Lockerud Mariestad","Period2","IBK Lockerud Mariestad - Surahammars IBF","Straff","Robert Forslind Lovrencic","Peter Palmelius","Robert Forslind Lovrencic, Peter Palmelius"
"162","Missad straff","06:19","","Jonatan Strömberg","Surahammars IBF","Period2","IBK Lockerud Mariestad - Surahammars IBF","Straff","Robert Forslind Lovrencic","Peter Palmelius","Robert Forslind Lovrencic, Peter Palmelius"
"163","Missad straff","11:34","","Isak Stöckel","IBK Lockerud Mariestad","Period3","IBK Lockerud Mariestad - Surahammars IBF","Straff","Robert Forslind Lovrencic","Peter Palmelius","Robert Forslind Lovrencic, Peter Palmelius"
"164","Räddad straff","05:14","","Simon Sälgfors","Växjö IBK U","Period2","Warberg IBF - Växjö IBK U","Straff","Oliver Engström","Kevin Larsson","Oliver Engström, Kevin Larsson"
"165","Straffmål","02:11","6-1","Jesper Andersson","Hovshaga AIF","Period2","Hovshaga AIF - Halmstads IBK","Straff","Dawan Mofak","Jesper Rygert","Dawan Mofak, Jesper Rygert"
"166","Missad straff","01:59","","Jacob Holm","FBC Partille","Period2","Mölndals IBF - FBC Partille","Straff","Oliver Engström","Kevin Larsson","Oliver Engström, Kevin Larsson"
"167","Missad straff","05:00","","Jacob Grauers","FBC Partille","Period3","Mölndals IBF - FBC Partille","Straff","Oliver Engström","Kevin Larsson","Oliver Engström, Kevin Larsson"
"168","Missad straff","17:31","","Marcus Magnemyr","Mölndals IBF","Period3","Mölndals IBF - FBC Partille","Straff","Oliver Engström","Kevin Larsson","Oliver Engström, Kevin Larsson"
"169","Missad straff","19:51","","Jonathan Molin","Skurups IBK","Period2","Olofströms IBK - Skurups IBK","Straff","Henrik Carlsson","Joacim Olofsson","Henrik Carlsson, Joacim Olofsson"
"170","Straffmål","10:38","5-2","Jesper Husberg","FBC Kalmarsund Ungdom","Period3","Munka-Ljungby IBK - FBC Kalmarsund Ungdom","Straff","Johan Holmåker","Jens Staaf","Johan Holmåker, Jens Staaf"
"171","Räddad straff","13:42","","Daniel Jakobsson","Floda IBK","Period1","Floda IBK - IBK Lidköping","Straff","Daniel Dimitrovski","Nebojsa Stefanovski","Daniel Dimitrovski, Nebojsa Stefanovski"
"172","Missad straff","12:58","","Robin Mourujärvi","Olofströms IBK","Period3","Skurups IBK - Olofströms IBK","Straff","Kevin Cardell","Rickard Nilsson","Kevin Cardell, Rickard Nilsson"
"173","Straffmål","19:57","10-1","Gustav Franzon","Skurups IBK","Period3","Skurups IBK - Olofströms IBK","Straff","Kevin Cardell","Rickard Nilsson","Kevin Cardell, Rickard Nilsson"
"174","Straffmål","14:36","6-2","Anton Lindahl","Skurups IBK","Period3","Skurups IBK - Röke IBK","Straff","David Dornlöv","Hussein Ibrahim","David Dornlöv, Hussein Ibrahim"
"175","Straffmål","11:59","3-1","Pontus Sjöström","Farsta IBK","Period3","Farsta IBK - Hammarby IF IBF","Straff","Jesper Liedberg","Nicklas Sundgren","Jesper Liedberg, Nicklas Sundgren"
"176","Straffmål","13:48","2-2","Robin Jensen","Torshälla IBK","Period1","Torshälla IBK - Surahammars IBF","Straff","Kent Erlandsson","Henrik Ibjer","Kent Erlandsson, Henrik Ibjer"
"177","Straffmål","05:05","2-3","Liam Åström","Värmdö IF","Period2","Linköping FBC - Värmdö IF","Straff","Henrik Carlsson","Joacim Olofsson","Henrik Carlsson, Joacim Olofsson"
"178","Räddad straff","02:23","","William Broberg","Växjö IBK U","Period2","Växjö IBK U - Åstorp/Kvidinge IBS","Straff","Erik Hindemith","Fredrik Lundborg","Erik Hindemith, Fredrik Lundborg"
