"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Straffmål","18:59","5-5","Ketil Kronberg","IBK Dalen","Period3","IBK Dalen - Pixbo Wallenstam IBK","Straff","Martin Gustafsson","Andreas Svensson","Martin Gustafsson, Andreas Svensson"
"2","Räddad straff","07:00","","Alexander Rudd","Storvreta IBK","Period3","IBF Falun - Storvreta IBK","Straff","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"3","Straffmål","02:38","1-0","Ketil Kronberg","IBK Dalen","Period1","IBK Dalen - FBC Kalmarsund","Straff","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"4","Räddad straff","17:20","","Adam Nilsson","FBC Kalmarsund","Period3","IBK Dalen - FBC Kalmarsund","Straff","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"5","Räddad straff","06:04","","Ondrej Nemecek","Linköping IBK","Period2","IBF Falun - Linköping IBK","Straff","Thomas Andersson","Rickard Wissman","Thomas Andersson, Rickard Wissman"
"6","Straffmål","13:14","3-3","Alexander Galante Carlström","IBF Falun","Period2","IBF Falun - Linköping IBK","Straff","Thomas Andersson","Rickard Wissman","Thomas Andersson, Rickard Wissman"
"7","Räddad straff","03:59","","Jonathan Nilsson","FC Helsingborg","Period2","FC Helsingborg - Pixbo Wallenstam IBK","Straff","Andreas Holm","Stefan Olsson","Andreas Holm, Stefan Olsson"
"8","Straffmål","17:36","4-6","Linus Nordgren","FC Helsingborg","Period3","FC Helsingborg - Pixbo Wallenstam IBK","Straff","Andreas Holm","Stefan Olsson","Andreas Holm, Stefan Olsson"
"9","Missad straff","08:45","","Alexander Rudd","Storvreta IBK","Period2","Höllvikens IBF - Storvreta IBK","Straff","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
"10","Räddad straff","07:56","","David Siitonen","Lindås Rasta IBK","Period2","IK Sirius IBK - Lindås Rasta IBK","Straff","Glenn Boström","Håkan Söderman","Glenn Boström, Håkan Söderman"
"11","Straffmål","07:41","5-5","Christoffer Andersson","Höllvikens IBF","Period3","IBF Örebro - Höllvikens IBF","Straff","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
"12","Missad straff","10:53","","Emil Nilsen","Jönköpings IK","Period2","IK Sirius IBK - Jönköpings IK","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"13","Räddad straff","06:48","","Hannes Blomkvist","Jönköpings IK","Period3","IK Sirius IBK - Jönköpings IK","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"14","Straffmål","13:45","4-4","Emil Nilsen","Jönköpings IK","Period2","Jönköpings IK - Pixbo Wallenstam IBK","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"15","Missad straff","20:00","","Andreas Stefansson","Pixbo Wallenstam IBK","Period3","Jönköpings IK - Pixbo Wallenstam IBK","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"16","Straffmål","10:02","2-3","Daniel Persson","Höllvikens IBF","Period2","Höllvikens IBF - IK Sirius IBK","Straff","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"17","Straffmål","01:23","2-2","Max Wahlgren","Linköping IBK","Period2","Linköping IBK - Storvreta IBK","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"18","Räddad straff","08:13","","Alexander Galante Carlström","IBF Falun","Period1","FC Helsingborg - IBF Falun","Straff","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"19","Straffmål","17:31","1-3","Jonathan Nilsson","FC Helsingborg","Period1","FC Helsingborg - IBF Falun","Straff","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"20","Straffmål","02:57","1-1","Emil Ruud","IBF Örebro","Period1","Linköping IBK - IBF Örebro","Straff","Glenn Boström","Håkan Söderman","Glenn Boström, Håkan Söderman"
"21","Räddad straff","10:07","","Joel Wadsten","Jönköpings IK","Period1","IBK Dalen - Jönköpings IK","Straff","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
"22","Straffmål","17:22","7-3","Ketil Kronberg","IBK Dalen","Period3","IBK Dalen - Storvreta IBK","Straff","Ki Sandholm","Petter Seger Undén","Ki Sandholm, Petter Seger Undén"
"23","Missad straff","10:52","","Emil Nilsen","Jönköpings IK","Period3","Jönköpings IK - IK Sirius IBK","Straff","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"24","Räddad straff","15:27","","Simon Palmén","Linköping IBK","Period2","Växjö IBK - Linköping IBK","Straff","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"25","Räddad straff","02:53","","Daniel Calebsson","Pixbo Wallenstam IBK","Period3","Pixbo Wallenstam IBK - FC Helsingborg","Straff","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"26","Straffmål","01:35","4-5","Joel Wadsten","Jönköpings IK","Period4","Pixbo Wallenstam IBK - Jönköpings IK","Straff","Martin Gustafsson","Andreas Svensson","Martin Gustafsson, Andreas Svensson"
"27","Räddad straff","07:43","","Malte Lundmark","IBF Falun","Period1","IBF Falun - Jönköpings IK","Straff","Glenn Boström","Håkan Söderman","Glenn Boström, Håkan Söderman"
"28","Missad straff","16:10","","Mattias Jansson","IK Sirius IBK","Period1","IK Sirius IBK - IBF Falun","Straff","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
"29","Missad straff","09:57","","Lukas Sjöblom","IK Sirius IBK","Period3","IK Sirius IBK - IBF Falun","Straff","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
"30","Straffmål","13:15","3-7","David Siitonen","Lindås Rasta IBK","Period2","Mullsjö AIS - Lindås Rasta IBK","Straff","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"31","Straffmål","10:32","0-1","Ketil Kronberg","IBK Dalen","Period1","Linköping IBK - IBK Dalen","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"32","Missad straff","04:45","","Martin Hovlund","Linköping IBK","Period2","Linköping IBK - IBK Dalen","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"33","Räddad straff","12:27","","Emil Nilsen","Jönköpings IK","Period2","Jönköpings IK - Linköping IBK","Straff","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"34","Straffmål","04:14","3-2","Jacob Embretzen","IBF Örebro","Period3","FBC Kalmarsund - IBF Örebro","Straff","Thomas Andersson","Rickard Wissman","Thomas Andersson, Rickard Wissman"
"35","Räddad straff","04:30","","Otto Weidman","Jönköpings IK","Period2","Jönköpings IK - FC Helsingborg","Straff","Thomas Andersson","Rickard Wissman","Thomas Andersson, Rickard Wissman"
"36","Straffmål","02:26","2-4","Hannes Blomkvist","Jönköpings IK","Period3","Linköping IBK - Jönköpings IK","Straff","Glenn Boström","Håkan Söderman","Glenn Boström, Håkan Söderman"
"37","Räddad straff","07:17","","Tobias Gustafsson","Storvreta IBK","Period2","Storvreta IBK - Pixbo Wallenstam IBK","Straff","Glenn Boström","Håkan Söderman","Glenn Boström, Håkan Söderman"
"38","Straffmål","08:51","5-5","Ketil Kronberg","IBK Dalen","Period3","IBF Falun - IBK Dalen","Straff","Martin Gustafsson","Andreas Svensson","Martin Gustafsson, Andreas Svensson"
"39","Straffmål","00:54","4-2","André Andersson","Växjö IBK","Period2","Växjö IBK - Storvreta IBK","Straff","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"40","Straffmål","12:39","7-13","Alexander Rudd","Storvreta IBK","Period3","Växjö IBK - Storvreta IBK","Straff","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"41","Missad straff","09:11","","Alexander Galante Carlström","IBF Falun","Period1","IBF Falun - Höllvikens IBF","Straff","Thomas Andersson","Rickard Wissman","Thomas Andersson, Rickard Wissman"
"42","Straffmål","18:04","8-1","Mattias Jansson","IK Sirius IBK","Period2","IK Sirius IBK - FC Helsingborg","Straff","Jonatan Lindberg","Erik Lundgren","Jonatan Lindberg, Erik Lundgren"
"43","Straffmål","01:30","4-3","Alexander Rudd","Storvreta IBK","Period2","Pixbo Wallenstam IBK - Storvreta IBK","Straff","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"44","Straffmål","16:24","3-5","Max Wahlgren","Linköping IBK","Period3","Pixbo Wallenstam IBK - Linköping IBK","Straff","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"45","Straffmål","08:39","4-2","David Siitonen","Lindås Rasta IBK","Period2","Lindås Rasta IBK - Pixbo Wallenstam IBK","Straff","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
"46","Straffmål","14:38","3-1","Alexander Rudd","Storvreta IBK","Period1","Storvreta IBK - Mullsjö AIS","Straff","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"47","Straffmål","15:39","8-2","Alexander Rudd","Storvreta IBK","Period3","Storvreta IBK - Mullsjö AIS","Straff","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"48","Missad straff","16:27","","Viktor Wibring","Mullsjö AIS","Period3","IBK Dalen - Mullsjö AIS","Straff","Thomas Andersson","Rickard Wissman","Thomas Andersson, Rickard Wissman"
"49","Missad straff","19:02","","Viktor Wibring","Mullsjö AIS","Period1","Linköping IBK - Mullsjö AIS","Straff","Martin Gustafsson","Andreas Svensson","Martin Gustafsson, Andreas Svensson"
"50","Missad straff","11:55","","André Andersson","Växjö IBK","Period2","Växjö IBK - IBF Örebro","Straff","Glenn Boström","Håkan Söderman","Glenn Boström, Håkan Söderman"
"51","Straffmål","15:17","10-5","Mattias Jansson","IK Sirius IBK","Period3","Linköping IBK - IK Sirius IBK","Straff","Andreas Holm","Stefan Olsson","Andreas Holm, Stefan Olsson"
"52","Missad straff","14:08","","Daniel Gidske","Mullsjö AIS","Period3","Mullsjö AIS - Linköping IBK","Straff","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"53","Straffmål","13:23","4-3","Kim Nilsson","FBC Kalmarsund","Period2","FBC Kalmarsund - Växjö IBK","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"54","Straffmål","02:54","2-0","Erik Storgårds","IK Sirius IBK","Period1","IK Sirius IBK - Växjö IBK","Straff","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"55","Missad straff","14:13","","Markus Jonsson","Växjö IBK","Period3","IK Sirius IBK - Växjö IBK","Straff","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"56","Missad straff","18:04","","Simon Palmén","Linköping IBK","Period2","Linköping IBK - Höllvikens IBF","Straff","Daniel Fathi-Najafi","David Geiser","Daniel Fathi-Najafi, David Geiser"
"57","Straffmål","02:09","4-1","Max Wahlgren","Linköping IBK","Period3","Linköping IBK - Höllvikens IBF","Straff","Daniel Fathi-Najafi","David Geiser","Daniel Fathi-Najafi, David Geiser"
"58","Räddad straff","06:30","","Marcus Ekengren","IBF Örebro","Period1","Lindås Rasta IBK - IBF Örebro","Straff","Jonatan Lindberg","Erik Lundgren","Jonatan Lindberg, Erik Lundgren"
"59","Straffmål","17:37","2-3","Daniel Persson","Höllvikens IBF","Period2","FBC Kalmarsund - Höllvikens IBF","Straff","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"60","Missad straff","19:09","","Jonathan Skoglösa","FC Helsingborg","Period1","FC Helsingborg - Lindås Rasta IBK","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"61","Missad straff","13:36","","Otto Weidman","Jönköpings IK","Period3","Jönköpings IK - Mullsjö AIS","Straff","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"62","Straffmål","16:11","3-6","Emil Nilsen","Jönköpings IK","Period3","Jönköpings IK - FBC Kalmarsund","Straff","Jonas Ottosson","Patrik Trofast","Jonas Ottosson, Patrik Trofast"
"63","Missad straff","16:47","","Rickard Hessmer","Jönköpings IK","Period3","Jönköpings IK - FBC Kalmarsund","Straff","Jonas Ottosson","Patrik Trofast","Jonas Ottosson, Patrik Trofast"
"64","Missad straff","15:50","","Pelle Tarenius","Mullsjö AIS","Period3","Mullsjö AIS - Pixbo Wallenstam IBK","Straff","Thomas Andersson","Rickard Wissman","Thomas Andersson, Rickard Wissman"
"65","Straffmål","08:03","6-3","Alexander Rudd","Storvreta IBK","Period3","Storvreta IBK - Linköping IBK","Straff","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
"66","Straffmål","09:27","2-0","Ketil Kronberg","IBK Dalen","Period2","IBK Dalen - Lindås Rasta IBK","Straff","Jonatan Lindberg","Erik Lundgren","Jonatan Lindberg, Erik Lundgren"
"67","Missad straff","14:20","","Daniel Persson","Höllvikens IBF","Period1","Höllvikens IBF - Linköping IBK","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"68","Straffmål","10:40","3-4","Ketil Kronberg","IBK Dalen","Period2","Höllvikens IBF - IBK Dalen","Straff","Andreas Holm","Stefan Olsson","Andreas Holm, Stefan Olsson"
"69","Straffmål","11:28","3-5","Ketil Kronberg","IBK Dalen","Period2","Höllvikens IBF - IBK Dalen","Straff","Andreas Holm","Stefan Olsson","Andreas Holm, Stefan Olsson"
"70","Räddad straff","19:30","","Hannes Blomkvist","Jönköpings IK","Period3","Jönköpings IK - FBC Kalmarsund","Straff","Glenn Boström","Håkan Söderman","Glenn Boström, Håkan Söderman"
"71","Straffmål","18:24","2-2","Marcus Ekengren","IBF Örebro","Period1","IBF Örebro - FC Helsingborg","Straff","Glenn Boström","Håkan Söderman","Glenn Boström, Håkan Söderman"
"72","Straffmål","06:01","1-3","André Andersson","Växjö IBK","Period2","Höllvikens IBF - Växjö IBK","Straff","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
"73","Straffmål","07:02","2-3","Jonathan Nilsson","FC Helsingborg","Period2","FC Helsingborg - Mullsjö AIS","Straff","Ki Sandholm","Petter Seger Undén","Ki Sandholm, Petter Seger Undén"
"74","Räddad straff","14:27","","Jonathan Nilsson","FC Helsingborg","Period3","FC Helsingborg - Mullsjö AIS","Straff","Ki Sandholm","Petter Seger Undén","Ki Sandholm, Petter Seger Undén"
"75","Missad straff","05:59","","Max Wahlgren","Linköping IBK","Period2","Linköping IBK - FBC Kalmarsund","Straff","Thomas Andersson","Rickard Wissman","Thomas Andersson, Rickard Wissman"
"76","Straffmål","09:05","3-4","Andreas Stefansson","Pixbo Wallenstam IBK","Period2","Pixbo Wallenstam IBK - IBF Falun","Straff","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
"77","Räddad straff","13:46","","Rasmus Enström","IBF Falun","Period3","Pixbo Wallenstam IBK - IBF Falun","Straff","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
"78","Räddad straff","13:53","","Max Wahlgren","Linköping IBK","Period1","FC Helsingborg - Linköping IBK","Straff","Daniel Fathi-Najafi","Peter Novakovic","Daniel Fathi-Najafi, Peter Novakovic"
"79","Straffmål","18:07","3-7","Emil Nilsen","Jönköpings IK","Period3","Lindås Rasta IBK - Jönköpings IK","Straff","David Geiser","Henrik Nilsson","David Geiser, Henrik Nilsson"
"80","Räddad straff","09:57","","Emil Ruud","IBF Örebro","Period2","IBK Dalen - IBF Örebro","Straff","Martin Gustafsson","Andreas Svensson","Martin Gustafsson, Andreas Svensson"
"81","Straffmål","09:55","8-3","Jesper Berggren","Storvreta IBK","Period2","Storvreta IBK - Lindås Rasta IBK","Straff","Martin Gustafsson","Andreas Svensson","Martin Gustafsson, Andreas Svensson"
"82","Räddad straff","18:45","","Mattias Jansson","IK Sirius IBK","Period3","IK Sirius IBK - FBC Kalmarsund","Straff","Martin Gustafsson","Andreas Svensson","Martin Gustafsson, Andreas Svensson"
"83","Straffmål","19:19","2-1","Viktor Wibring","Mullsjö AIS","Period1","Mullsjö AIS - Storvreta IBK","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"84","Straffmål","06:50","4-4","Sebastian Palmqvist","Mullsjö AIS","Period3","Mullsjö AIS - Storvreta IBK","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"85","Missad straff","01:08","","Tim Braillard","Mullsjö AIS","Period4","Mullsjö AIS - Storvreta IBK","Straff","Daniel Böcker","Andreas Lybacken","Daniel Böcker, Andreas Lybacken"
"86","Räddad straff","06:55","","Simon Palmén","Linköping IBK","Period3","FC Helsingborg - Linköping IBK","Straff","Simon Broman","Martin Matti","Simon Broman, Martin Matti"
