"","X","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"28",28,"Utvisning","11:58",NA,"Maja Sköldh","Örnsköldsvik IBF","Period1","Fasthållning",2,"Örnsköldsvik IBF - Skellefteå IBK","Patrik Häggström","Jens Marklund","Patrik Häggström, Jens Marklund"
"29",29,"Utvisning","05:49",NA,"Malin Lundqvist","Skellefteå IBK","Period2","Straff pga betr av målvaktsområde",2,"Örnsköldsvik IBF - Skellefteå IBK","Patrik Häggström","Jens Marklund","Patrik Häggström, Jens Marklund"
"30",30,"Utvisning","07:20",NA,"Vanessa Hedström","Skellefteå IBK","Period1","Felaktigt avstånd",2,"Örnsköldsvik IBF - Skellefteå IBK","Maria Dahlin","Elin Lindgren","Maria Dahlin, Elin Lindgren"
"31",31,"Utvisning","08:38",NA,"Desire Larsson","Röbäcks IF","Period2","Låsning av klubba",2,"Gullänget-Kroksta IBS - Röbäcks IF","Mikael Körning","Peder Lövdahl","Mikael Körning, Peder Lövdahl"
"32",32,"Utvisning","15:02",NA,"Vanja Östman","Gullänget-Kroksta IBS","Period2","Slag",2,"Gullänget-Kroksta IBS - Röbäcks IF","Mikael Körning","Peder Lövdahl","Mikael Körning, Peder Lövdahl"
"33",33,"Utvisning","05:03",NA,"Julia Lundberg","Gullänget-Kroksta IBS","Period3","Otillåten trängning",2,"Gullänget-Kroksta IBS - Röbäcks IF","Mikael Körning","Peder Lövdahl","Mikael Körning, Peder Lövdahl"
"34",34,"Utvisning","13:23",NA,"Wilma Sjöner","Röbäcks IF","Period3","Låsning av klubba",2,"Gullänget-Kroksta IBS - Röbäcks IF","Mikael Körning","Peder Lövdahl","Mikael Körning, Peder Lövdahl"
"35",35,"Utvisning","13:47",NA,"Emilia Lönn","Röbäcks IF","Period3","Otillåten trängning",2,"Gullänget-Kroksta IBS - Röbäcks IF","Mikael Körning","Peder Lövdahl","Mikael Körning, Peder Lövdahl"
"36",36,"Utvisning","07:38",NA,"Elin Nordin","Örnsköldsvik IBF","Period3","Slag",2,"Sävar IK - Örnsköldsvik IBF","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"37",37,"Utvisning","11:14",NA,"Sofia Lundmark","Sävar IK","Period3","Obstruktion",2,"Sävar IK - Örnsköldsvik IBF","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"38",38,"Utvisning","17:23",NA,"Sofia Lundmark","Sävar IK","Period3","Fasthållning",2,"Sävar IK - Örnsköldsvik IBF","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"39",39,"Utvisning","05:35",NA,"Wilma Brande","Sandåkerns SK","Period1","Otillåten trängning",2,"Skellefteå IBK - Sandåkerns SK","Daniel Johannesson","Thanasis Provatas","Daniel Johannesson, Thanasis Provatas"
"40",40,"Utvisning","17:56",NA,"Sanna Holmström","Skellefteå IBK","Period2","Otillåten trängning",2,"Skellefteå IBK - Sandåkerns SK","Daniel Johannesson","Thanasis Provatas","Daniel Johannesson, Thanasis Provatas"
"41",41,"Utvisning","04:49",NA,"Smilla Lundberg","Gimonäs Umeå IF","Period3","Spel utan klubba",2,"Gimonäs Umeå IF - Spöland Vännäs IF","Andreas Eriksson","Mattias Karlsson","Andreas Eriksson, Mattias Karlsson"
"42",42,"Utvisning","07:07",NA,"Emma Åhl-Lundström","Spöland Vännäs IF","Period3","Hårt spel 2",2,"Gimonäs Umeå IF - Spöland Vännäs IF","Andreas Eriksson","Mattias Karlsson","Andreas Eriksson, Mattias Karlsson"
"43",43,"Utvisning","17:05",NA,"Jenny Tiger","Gimonäs Umeå IF","Period2","För många spelare på plan",2,"Spöland Vännäs IF - Gimonäs Umeå IF","Tony Cederholm","Joni Güzel","Tony Cederholm, Joni Güzel"
"44",44,"Utvisning","14:28",NA,"Moa Bergsdorf","Gimonäs Umeå IF","Period3","Slag",2,"Spöland Vännäs IF - Gimonäs Umeå IF","Tony Cederholm","Joni Güzel","Tony Cederholm, Joni Güzel"
"45",45,"Utvisning","17:31",NA,"Emelie Segerljung","Spöland Vännäs IF","Period3","Otillåten trängning",2,"Spöland Vännäs IF - Gimonäs Umeå IF","Tony Cederholm","Joni Güzel","Tony Cederholm, Joni Güzel"
"46",46,"Utvisning","19:38",NA,"Smilla Lundberg","Gimonäs Umeå IF","Period3","Slag",2,"Spöland Vännäs IF - Gimonäs Umeå IF","Tony Cederholm","Joni Güzel","Tony Cederholm, Joni Güzel"
"47",47,"Utvisning","18:17",NA,"Nora Östman","Gullänget-Kroksta IBS","Period1","Hårt spel 2",2,"Röbäcks IF - Gullänget-Kroksta IBS","Daniel Johannesson","Ulf Stödberg","Daniel Johannesson, Ulf Stödberg"
"48",48,"Utvisning","01:23",NA,"Emilia Lönn","Röbäcks IF","Period3","Otillåten trängning",2,"Röbäcks IF - Gullänget-Kroksta IBS","Daniel Johannesson","Ulf Stödberg","Daniel Johannesson, Ulf Stödberg"
"49",49,"Utvisning","00:54",NA,"Jennifer Cliffoord","Ersboda SK","Period2","Slag",2,"Ersboda SK - Kågedalens AIF","Mathias Damgaard","Magnus Rutqvist","Mathias Damgaard, Magnus Rutqvist"
"50",50,"Utvisning","15:26",NA,"Emilia Nordlund","Ersboda SK","Period2","Ej angiven förseelse",2,"Ersboda SK - Kågedalens AIF","Mathias Damgaard","Magnus Rutqvist","Mathias Damgaard, Magnus Rutqvist"
"51",51,"Utvisning","18:52",NA,"Wilma Bäcklund","Kågedalens AIF","Period2","Hårt spel 2",2,"Ersboda SK - Kågedalens AIF","Mathias Damgaard","Magnus Rutqvist","Mathias Damgaard, Magnus Rutqvist"
"52",52,"Utvisning","18:52",NA,"Ella Myrenius","Kågedalens AIF","Period2","För många spelare på plan",2,"Ersboda SK - Kågedalens AIF","Mathias Damgaard","Magnus Rutqvist","Mathias Damgaard, Magnus Rutqvist"
"53",53,"Utvisning","02:02",NA,"Juliana Mäkeläinen","Ersboda SK","Period3","Slag",2,"Ersboda SK - Kågedalens AIF","Mathias Damgaard","Magnus Rutqvist","Mathias Damgaard, Magnus Rutqvist"
"54",54,"Utvisning","06:53",NA,"Meja Käller","Kågedalens AIF","Period3","Slag",2,"Ersboda SK - Kågedalens AIF","Mathias Damgaard","Magnus Rutqvist","Mathias Damgaard, Magnus Rutqvist"
"55",55,"Utvisning","10:12",NA,"Joella Snickars","Ersboda SK","Period3","Otillåten trängning",2,"Ersboda SK - Kågedalens AIF","Mathias Damgaard","Magnus Rutqvist","Mathias Damgaard, Magnus Rutqvist"
"56",56,"Utvisning","17:31",NA,"Inez Lindqvist","Kågedalens AIF","Period2","Slag",2,"Kågedalens AIF - Ersboda SK","David Jonsson","Johan Rönnberg","David Jonsson, Johan Rönnberg"
"57",57,"Utvisning","11:17",NA,"Juliana Mäkeläinen","Ersboda SK","Period3","Otillåten trängning",2,"Kågedalens AIF - Ersboda SK","David Jonsson","Johan Rönnberg","David Jonsson, Johan Rönnberg"
"58",58,"Utvisning","10:18",NA,"Martine Wikberg","Skellefteå IBK","Period2","Hands",2,"Skellefteå IBK - Sandåkerns SK","Patrik Häggström","Jens Marklund","Patrik Häggström, Jens Marklund"
"59",59,"Utvisning","15:26",NA,"Sanna Lövgren","Spöland Vännäs IF","Period1","Otillåten trängning",2,"Spöland Vännäs IF - Ersboda SK","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"60",60,"Utvisning","05:34",NA,"Sanna Lövgren","Spöland Vännäs IF","Period3","Spel utan klubba",2,"Spöland Vännäs IF - Ersboda SK","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"61",61,"Utvisning","16:13",NA,"Julia Nyberg","Ersboda SK","Period3","Låsning av klubba",2,"Spöland Vännäs IF - Ersboda SK","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"62",62,"Utvisning","17:06",NA,"Vanja Östman","Gullänget-Kroksta IBS","Period1","Slag",2,"Gullänget-Kroksta IBS - Gimonäs Umeå IF","Peder Lövdahl","Göran Norberg","Peder Lövdahl, Göran Norberg"
"63",63,"Utvisning","14:04",NA,"Moa Bergsdorf","Gimonäs Umeå IF","Period2","Låsning av klubba",2,"Gullänget-Kroksta IBS - Gimonäs Umeå IF","Peder Lövdahl","Göran Norberg","Peder Lövdahl, Göran Norberg"
"64",64,"Utvisning","08:40",NA,"Vanja Östman","Gullänget-Kroksta IBS","Period3","Slag",2,"Gullänget-Kroksta IBS - Gimonäs Umeå IF","Peder Lövdahl","Göran Norberg","Peder Lövdahl, Göran Norberg"
"65",65,"Utvisning","08:15",NA,"Sofia Lundmark","Sävar IK","Period3","Slag",2,"Sandåkerns SK - Sävar IK","Roger Karlsson","Peter Poopuu","Roger Karlsson, Peter Poopuu"
"66",66,"Utvisning","09:48",NA,"Lina Oscarsson","Örnsköldsvik IBF","Period1","Felaktigt avstånd",2,"Örnsköldsvik IBF - Röbäcks IF","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"67",67,"Utvisning","09:22",NA,"Tilde Linrin","Röbäcks IF","Period3","Slag",2,"Örnsköldsvik IBF - Röbäcks IF","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"68",68,"Utvisning","12:55",NA,"Lina Haga","Örnsköldsvik IBF","Period3","Otillåten trängning",2,"Örnsköldsvik IBF - Röbäcks IF","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"69",69,"Utvisning","16:49",NA,"Jonna Lönn","Röbäcks IF","Period3","Slag",2,"Örnsköldsvik IBF - Röbäcks IF","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"70",70,"Utvisning","06:05",NA,"Tilda Boström","Sävar IK","Period3","Slag",2,"Sävar IK - Gimonäs Umeå IF","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"71",71,"Utvisning","10:41",NA,"Smilla Lundberg","Gimonäs Umeå IF","Period3","Slag",2,"Sävar IK - Gimonäs Umeå IF","Manuel Garzon","Rasmus Säfvenberg","Manuel Garzon, Rasmus Säfvenberg"
"72",72,"Utvisning","13:23",NA,"Johanna Eriksson","Örnsköldsvik IBF","Period2","Otillåten trängning",2,"Örnsköldsvik IBF - Sävar IK","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"73",73,"Utvisning","12:52",NA,"Lisa Sjölund","Örnsköldsvik IBF","Period1","Otillåten trängning",2,"Örnsköldsvik IBF - Sandåkerns SK","Peder Lövdahl","Göran Norberg","Peder Lövdahl, Göran Norberg"
"74",74,"Utvisning","10:12",NA,"Emma Lindgren","Sandåkerns SK","Period2","Slag",2,"Örnsköldsvik IBF - Sandåkerns SK","Peder Lövdahl","Göran Norberg","Peder Lövdahl, Göran Norberg"
"75",75,"Utvisning","02:59",NA,"Sara Johansson","Sandåkerns SK","Period3","Hårt spel 2",2,"Örnsköldsvik IBF - Sandåkerns SK","Peder Lövdahl","Göran Norberg","Peder Lövdahl, Göran Norberg"
"76",76,"Utvisning","09:57",NA,"Emma Lindgren","Sandåkerns SK","Period3","Slag",2,"Örnsköldsvik IBF - Sandåkerns SK","Peder Lövdahl","Göran Norberg","Peder Lövdahl, Göran Norberg"
"77",77,"Utvisning","19:50",NA,"Elin Nordin","Örnsköldsvik IBF","Period3","Hårt spel 2",2,"Örnsköldsvik IBF - Sandåkerns SK","Peder Lövdahl","Göran Norberg","Peder Lövdahl, Göran Norberg"
"78",78,"Utvisning","07:22",NA,"Wilma Bäcklund","Kågedalens AIF","Period1","Felaktigt avstånd",2,"Skellefteå IBK - Kågedalens AIF","Lasse Ekesryd","Jens Marklund","Lasse Ekesryd, Jens Marklund"
"79",79,"Utvisning","13:26",NA,"Emma Åström","Röbäcks IF","Period2","Hög klubba",2,"Ersboda SK - Röbäcks IF","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"80",80,"Utvisning","04:10",NA,"Liv Falk","Ersboda SK","Period3","Otillåten trängning",2,"Ersboda SK - Röbäcks IF","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"81",81,"Utvisning","05:24",NA,"Emma Åström","Röbäcks IF","Period3","Otillåten trängning",2,"Ersboda SK - Röbäcks IF","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"82",82,"Utvisning","09:03",NA,"Emilia Lönn","Röbäcks IF","Period3","Slag",2,"Ersboda SK - Röbäcks IF","Julia Fältén","Lisa Vestman","Julia Fältén, Lisa Vestman"
"83",83,"Utvisning","09:50",NA,"Martina Sundelin","Gullänget-Kroksta IBS","Period2","Slag",2,"Gullänget-Kroksta IBS - Gimonäs Umeå IF","Peter Poopuu","Ulf Stödberg","Peter Poopuu, Ulf Stödberg"
"84",84,"Utvisning","08:46",NA,"Nora Östman","Gullänget-Kroksta IBS","Period3","Hårt spel 2",2,"Gullänget-Kroksta IBS - Gimonäs Umeå IF","Peter Poopuu","Ulf Stödberg","Peter Poopuu, Ulf Stödberg"
"85",85,"Utvisning","05:17",NA,"Alicia Lindqvist","Skellefteå IBK","Period1","Slag",2,"Spöland Vännäs IF - Skellefteå IBK","Roger Karlsson","Christoffer Lind","Roger Karlsson, Christoffer Lind"
"86",86,"Utvisning","18:49",NA,"Camilla Wallin","Spöland Vännäs IF","Period1","Slag",2,"Spöland Vännäs IF - Skellefteå IBK","Roger Karlsson","Christoffer Lind","Roger Karlsson, Christoffer Lind"
"87",87,"Utvisning","16:32",NA,"Sanna Lövgren","Spöland Vännäs IF","Period3","Obstruktion",2,"Spöland Vännäs IF - Skellefteå IBK","Roger Karlsson","Christoffer Lind","Roger Karlsson, Christoffer Lind"
"88",88,"Utvisning","18:00",NA,"Elin Nordin","Örnsköldsvik IBF","Period1","Otillåten trängning",2,"Örnsköldsvik IBF - Röbäcks IF","Erik Hörnros","Jimmy Norlund","Erik Hörnros, Jimmy Norlund"
"89",89,"Utvisning","18:44",NA,"Ronja Edlund","Gullänget-Kroksta IBS","Period3","Otillåten trängning",2,"Gullänget-Kroksta IBS - Kågedalens AIF","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"90",90,"Utvisning","19:35",NA,"Linn Eliasson","Sandåkerns SK","Period2","Slag",2,"Sävar IK - Sandåkerns SK","Tony Cederholm","Therese Jensen","Tony Cederholm, Therese Jensen"
"91",91,"Utvisning","19:13",NA,"Emma Johansson","Sävar IK","Period3","Obstruktion",2,"Sävar IK - Sandåkerns SK","Tony Cederholm","Therese Jensen","Tony Cederholm, Therese Jensen"
"92",92,"Utvisning","07:04",NA,"Ann-Catrin Lundmark","Skellefteå IBK","Period3","Liggande spel",2,"Skellefteå IBK - Gullänget-Kroksta IBS","Patrik Häggström","Jens Marklund","Patrik Häggström, Jens Marklund"
"93",93,"Utvisning","05:37",NA,"Sofia Johansson","Ersboda SK","Period2","Slag",2,"Ersboda SK - Spöland Vännäs IF","Andreas Eriksson","Mattias Karlsson","Andreas Eriksson, Mattias Karlsson"
"94",94,"Utvisning","09:48",NA,"Sabina Tafvelin","Spöland Vännäs IF","Period2","Otillåten trängning",2,"Ersboda SK - Spöland Vännäs IF","Andreas Eriksson","Mattias Karlsson","Andreas Eriksson, Mattias Karlsson"
